数据ID,类别,评论内容,属性,情感标签
TRAIN_24,图书音像,这书不会是盗版的吧 这书不会是盗版的吧毛边极多里面好多页都是连在一起的感觉和盗版书似的拍了照片不知道怎么上传上来。送书的速度倒还挺快,其他,1
TRAIN_25,图书音像,不错 一直喜欢韦尔奇的书这本闲时看看不错的,其他,1
TRAIN_26,图书音像,孩子十分爱看很好的一本书 孩子十分爱看很好的一本书,其他,1
TRAIN_27,美妆个护,还好 到货很快一天就到了。保温效果还可以就是刚拍到脸上时有点粘稠。,其他,1
TRAIN_28,图书音像,好 这戏很有吸引力故事真实内容很悬.加上一批好演员真的无限可击,其他,1
TRAIN_29,电脑/办公,不错 产品质量挺好会向别人推荐,其他,1
TRAIN_30,图书音像,喜欢 刀刀的笔记本很不错哦,其他,1
TRAIN_31,图书音像,好 送给姐姐的 姐姐很喜欢 包装很精美,包装,1
TRAIN_32,图书音像,期待 超级期待.....,其他,1
TRAIN_33,图书音像,还可以 老师推荐的但书比我想象的薄,其他,1
TRAIN_34,图书音像,好看 一直喜欢看哈利波特 情节紧凑 而且还可以提高英语。,外观,1
TRAIN_35,美妆个护,是正品信赖卓越 和旅游时香港专柜买来的一样是正品。从大学起一直都用卓越可能是我运气好从来没遇到过包装破损货物漏洒现象相信卓越多年经营建立起来的信誉。关键是比专柜便宜,价格,1
TRAIN_35,美妆个护,是正品信赖卓越 和旅游时香港专柜买来的一样是正品。从大学起一直都用卓越可能是我运气好从来没遇到过包装破损货物漏洒现象相信卓越多年经营建立起来的信誉。关键是比专柜便宜,包装,0
TRAIN_36,图书音像,官方教材 对考试很有帮助不过想要考好计算机二级就得再另外买一本有相应操作题的习题书了。,其他,1
TRAIN_37,图书音像,还可以 内容我们都知道没有什么突出是本一般的书,其他,1
TRAIN_38,图书音像,神作啊 神作再现期待第三部,其他,1
TRAIN_39,家用电器,不错 给爸爸买的还没用呢不过在本地商场里看到同款的了要299呢所以感觉便宜了好多啊,价格,1
TRAIN_40,图书音像,很不错 帮姐姐家小孩子买的,其他,1
TRAIN_41,手机/数码,看在不足千元的价格上给4星吧 虽然价格挺实惠但设计得不是很好 调节变焦没有我用的佳能方便变焦环太小了 关闭了数码变焦仍然进行数码变焦只是降到了光学+数码变焦共25X而不是只到光学的12.5X 没有调节场景的快捷键设置很麻烦,价格,1
TRAIN_42,图书音像,女儿喜欢 女儿说特别喜欢这本书看完还列了学习计划。,其他,1
TRAIN_43,美妆个护,跟正品有区别 产品和专柜买的有区别。,其他,0
TRAIN_44,图书音像,小孩子很喜欢 小孩很喜欢和同桌换着看,其他,1
TRAIN_45,图书音像,很漂亮的书 收到后很开心不论是包装还是因刷都很漂亮绝对称的上经典。里面的内容更加赞我是立体绣的初学者这本书一看以为很难但是仔细研读下来发现步骤很简单自己尝试了一下发现以能绣个八九不离十所以还是很庆幸被推荐了这本书即使不看也绝对值得收藏。,外观,1
TRAIN_45,图书音像,很漂亮的书 收到后很开心不论是包装还是因刷都很漂亮绝对称的上经典。里面的内容更加赞我是立体绣的初学者这本书一看以为很难但是仔细研读下来发现步骤很简单自己尝试了一下发现以能绣个八九不离十所以还是很庆幸被推荐了这本书即使不看也绝对值得收藏。,内容,1
TRAIN_46,图书音像,还好还好 外壳没我想像中的那么满意其它都很好。,其他,1
TRAIN_47,图书音像,很好 很好讲的很基础通俗易懂,其他,1
TRAIN_48,图书音像,很专业 很专业系统 不过有些在国内不适用 毕竟天朝是天朝 美帝是美帝,其他,1
TRAIN_49,电脑/办公,东西正常物流不爽 东西用了四天还可以3.6G正常。 可是有一点我明明写明了工作日送货的却在周六吵着要我收货...谁能解释一下。,其他,1
TRAIN_50,家具/家装/建材,物有所值 外观沉稳时尚做工精细光线柔和有重量,做工,1
TRAIN_51,美妆个护,敏感肌肤谨慎1 我用了脸全过敏 很红 不知道能不能退,其他,0
TRAIN_52,手机/数码,用了一个月感觉还好 虽说单核的很慢内存也小但是不玩游戏只上QQ微信还是完全能满足使用要求的 主要是是480的价格也说的过去,内存,0
TRAIN_53,电脑/办公,网线... 东西很快到了但是打开失望发现没有网线不知道厂家怎么想的一根网线没几个钱但是出去买很费神,其他,0
TRAIN_54,图书音像,服务很方便信誉很好 服务很方便信誉很好,其他,1
TRAIN_55,家用电器,很舒服干剃很舒服。 一直干剃须剃的也比较干净电力也很耐用。,质量,1
TRAIN_55,家用电器,很舒服干剃很舒服。 一直干剃须剃的也比较干净电力也很耐用。,耗电,1
TRAIN_55,家用电器,很舒服干剃很舒服。 一直干剃须剃的也比较干净电力也很耐用。,清洁,1
TRAIN_56,电脑/办公,还好吧 机器还好吧。换过一次。第一次是座机有划痕很快就换了一个结果无线子机上有轻微划痕勉强接收吧。卓越的服务真的很不错快递速度也很给力。就是最好在商品上把一下关就好了。电话机可以留言但是留言的提示音太难听了。,速度,1
TRAIN_57,美妆个护,刚用觉得有点刺激 我是在大润发买的250ml 20块钱薄荷味感觉特别浓刚用了两次觉得有点刺激漱完口舌头都有点麻了用几次可能就习惯点吧下次打算买个口味清淡些的。。,温和,1
TRAIN_58,图书音像,有破页 质量不怎么样中间有个破损页幸亏发现了 还得找客服真是麻烦,包装,0
TRAIN_59,图书音像,儿童的福星 是一本指导现代育儿的经典之作能避免很多无知的爱,其他,1
TRAIN_60,图书音像,第一次在卓越买书 比预计日期早一天收到书非常惊喜只是封面有些许划痕因为想收藏觉得有些遗憾但整体还是挺好,其他,1
TRAIN_61,图书音像,有点不开心 字比较紧密价格也高了点比中国的书32开排版小感觉不舒服.很薄的.,排版,0
TRAIN_62,其他,又被骗了 筛选条件是3岁以下但商品明明标示不适合6岁以下,其他,1
TRAIN_63,图书音像,实话实说 老外骗钱没用处的 东西,其他,1
TRAIN_64,手机/数码,好 用了还可以哪。。。不错,其他,1
TRAIN_65,家居生活,很好 用了两个感觉很不错密封性很好也挺厚实的样子推荐。,密封,1
TRAIN_66,电脑/办公,路由器 简单实用发货速度也比较快,速度,1
TRAIN_67,家用电器,评 德生PL-600高性能全波段数字调谐立体声收音机 德生PL-600收音机我买过两台都不怎么满意。一是体积过大较为笨重。音色还不如德生9700dx短波灵敏度也好不了多少因此我不怎么喜欢。,其他,1
TRAIN_68,电脑/办公,根本没有16G 现在的东西也太假了说是16G但连12G的3D电影都装不下,其他,0
TRAIN_69,手机/数码,超级商品 自己拍专业拍不必经常背单反了简单家用足够了照片超级清晰,其他,1
TRAIN_70,图书音像,需要的就是最好的 需要的就是最好的,其他,1
TRAIN_71,图书音像,21天不错 书很小巧适合随身携带记忆 整体感觉不错,其他,1
TRAIN_72,图书音像,太一般 内容一般知识含量过低,内容,0
TRAIN_73,图书音像,SO SO 形式是好的但是内容过于太少且过于抽象对于1-3的宝宝而言未必太适合。,内容,0
TRAIN_74,图书音像,很不爽.... 买的时候说送什么礼包啊什么的..拿到手的礼品就一个书签....请你们解释下...,其他,1
TRAIN_75,其他,很不错 声音不错低音比PX80有力当然比五六百以上的大耳罩低音弹性少差头梁弹性大夹头带久了耳朵疼但可以捏住两边接头处反向掰当然要小心虽有弹性但毁了后果自负,其他,1
TRAIN_76,图书音像,专业里的非专业 买过DK的《鲸与海豚》觉得不错又买了《恐龙与史前生命》到手发觉内容不多又翻译得欠佳对于稍想深入了解的读者意义不大图片也不够精美不值得专业收藏一般的读者仅供参考。,价格,0
TRAIN_76,图书音像,专业里的非专业 买过DK的《鲸与海豚》觉得不错又买了《恐龙与史前生命》到手发觉内容不多又翻译得欠佳对于稍想深入了解的读者意义不大图片也不够精美不值得专业收藏一般的读者仅供参考。,包装,1
TRAIN_76,图书音像,专业里的非专业 买过DK的《鲸与海豚》觉得不错又买了《恐龙与史前生命》到手发觉内容不多又翻译得欠佳对于稍想深入了解的读者意义不大图片也不够精美不值得专业收藏一般的读者仅供参考。,插图,1
TRAIN_77,家用电器,格兰仕微波炉 宝贝送人了朋友夸好用。我认为超值实体店和超市要贵许多哦。,其他,1
TRAIN_78,图书音像,彩色小本 彩色小本操作方便图文并茂简单易学准备好好学起来让家人更健康,插图,0
TRAIN_79,图书音像,超爱 看过电影书也超爱的就是没有插图。,其他,1
TRAIN_80,图书音像,适合大学生读 我一高中生没读下去。也就是一般的励志书没什么特别的。好失望。,其他,1
TRAIN_81,图书音像,引力量子 总体说来还不错很详细,其他,1
TRAIN_82,图书音像,少儿少女的喜爱 呵呵 女儿喜欢。还有继续关注后续的书,其他,1
TRAIN_83,图书音像,《马克思主义基本原理概论》 新版图书真的不错哦内容新颖条理清晰很适合学习用。,内容,1
TRAIN_83,图书音像,《马克思主义基本原理概论》 新版图书真的不错哦内容新颖条理清晰很适合学习用。,插图,1
TRAIN_84,图书音像,非常好的历史励志 朱元璋传讲述了朱元璋一生的经历流落街头的乞丐农民军的首领开国皇帝奋斗历程是一本非常好的历史励志从他的身上更能找着自己的影子并找寻到奋斗的方向。而且这个版本图文结合阅读起来很有重现历史的感觉很真实。而且文字非常风趣。我买了。赶紧去告诉我的朋友们让他们也买来看看希望我们都走出迷茫。,其他,1
TRAIN_85,图书音像,很可爱的小书 是一套可爱的书童书能让孩子认识大自然中的动物生活常识。书质量很好照片也好寓教于乐。,质量,1
TRAIN_86,手机/数码,挺好挺好看 很漂亮很喜欢还在功能开发中,外观,1
TRAIN_87,图书音像,点评四级真题 很适合我用答案很详细,其他,1
TRAIN_88,美妆个护,用了一次 刚买了可降价了用了一次感觉还行。。,其他,1
TRAIN_89,家居生活,味道好大 里面塑料件的塑料味好大洗、泡、打开盖子放搞了一个多礼拜还是一样比哈尔斯的差远了。,材质,1
TRAIN_90,图书音像,好书 很好的书內容好畫面精緻情節感人愛它愛寂地和阿梗,其他,1
TRAIN_91,手机/数码,还是比骄合适 用起来好将就优点双卡双模双核双待。缺点反映优点慢电池用得快。不过这个价位的我觉得还是可以了。,电池,0
TRAIN_92,图书音像,总体来说不错 书的质量很好内容还没怎么看不过总体来说还不错,质量,1
TRAIN_92,图书音像,总体来说不错 书的质量很好内容还没怎么看不过总体来说还不错,内容,1
TRAIN_93,图书音像,只是收到信息说已从库房发出 我就已经感动的几乎热泪盈眶。我是预售的啊 半个多月才发出这个过程我辗转反侧望穿秋水,其他,1
TRAIN_94,图书音像,不错 我觉得挺不错的实用,其他,1
TRAIN_95,电脑/办公,很好用的削铅笔刀 很好用的小铅笔刀物美价廉很好,价格,1
TRAIN_96,图书音像,非常好 很好的轻巧携带方便。也比较简单能看懂。经典的作品经典的版本。,其他,1
TRAIN_97,图书音像,质量好内容丰富 质量好 内容丰富 希望宝宝越听越聪明,质量,1
TRAIN_97,图书音像,质量好内容丰富 质量好 内容丰富 希望宝宝越听越聪明,内容,1
TRAIN_98,运动户外,不错不错。 和想像差不多手感还可以。,其他,1
TRAIN_99,图书音像,不错 不错一本值得品味的书,其他,1
TRAIN_100,图书音像,吉他 很适合0基础的同学学习吉他哦,其他,1
TRAIN_101,图书音像,喜欢老歌 挺喜欢里面的这些老歌,其他,1
TRAIN_102,手机/数码,东西不错正品 电池很不错绝对正品。物美价廉,价格,1
TRAIN_102,手机/数码,东西不错正品 电池很不错绝对正品。物美价廉,电池,1
TRAIN_103,图书音像,平凡的世界不平凡 一本非常适合现在青年人读的书能激发青年人的责任感和使命感推荐。,其他,1
TRAIN_104,图书音像,值得拥有 儿子和同学分享着看的 不错,其他,1
TRAIN_105,图书音像,很不怎么样的一本书后悔中。。。 本来以为是类似答疑推理类的作者官方解疑谁知道是东拼西凑的一些垃圾鬼故事莫名其妙的。。。很令人失望。。比较差劲的一本书,内容,0
TRAIN_106,电脑/办公,大牌、稳定 买给老妈手机里用的稳定没问题。。。,信号,1
TRAIN_107,图书音像,内容不错 画面制作精美我儿子很喜欢,包装,1
TRAIN_107,图书音像,内容不错 画面制作精美我儿子很喜欢,内容,1
TRAIN_108,图书音像,帮朋友买的具体不知道 帮朋友买的具体不知道,其他,1
TRAIN_109,手机/数码,其實還好額 啊啊啊啊啊啊啊啊 用了好幾天了 感覺有點坑了 信號無故斷掉 還有無故黑頻又啟動不了也沒有很多人說的那麼差勁的啦=。=電池什麼的看視頻可是看很久額、運行速度也蠻不錯的 因為剛用了兩天還沒有什麼特別大的問題、不知道一個月之後會不會壞了==,价格,0
TRAIN_110,图书音像,考研日语二外非常好用 是测试卷但是做成了书本的样子以前用过的测试卷很容易散这个方便多了。 两棵一小考四课一大练很好。 题型规划也很合理还有五十音图的测试很适合自学的测试和没有基础的同学用。 有单词测试比如汉字写平假名平假名写出对应的汉字而且都是放在句子中进行训练的很好用。 然后是语法的题目主要是连接词的使用有三大题类似完形填空的和选择题的。然后是日汉互译。 我是考研的日语二外这个简直就是我的救星啊不过没有听力所以要是想考日语的童鞋还要去找一本带听力练习的才行。,其他,1
TRAIN_111,图书音像,推荐 当天下单 第二天就到了 卓越还是很靠谱的 书的质量一般 内容上来说 个人觉得更适合入行的我们等菜鸟作为指导来看 很多东西都是很有指导意义的 理论性原则性比较强 技巧等方面的东西就需要自己另外的补充和积累了 总而言之 推荐,质量,0
TRAIN_111,图书音像,推荐 当天下单 第二天就到了 卓越还是很靠谱的 书的质量一般 内容上来说 个人觉得更适合入行的我们等菜鸟作为指导来看 很多东西都是很有指导意义的 理论性原则性比较强 技巧等方面的东西就需要自己另外的补充和积累了 总而言之 推荐,内容,0
TRAIN_112,图书音像,真的值得一读 给人耳目一新的感觉说的具体有生活指导意义,其他,1
TRAIN_113,图书音像,CD存在瑕疵 在播放第四首《假行僧》到50秒左右会卡碟一直会卡到2分钟的播放时间原以为是MINI音响的问题后用蓝光DVD播放卡碟后直接就跳到下一曲了看来我的音响的纠错比蓝光要好碟片表面没有任何的损伤以为是碟片问题后经换货问题依然存在看来是碟片制作时候的问题这是一张精选要不要买自己决定吧我也不退了有这种收藏也挺特别的,其他,1
TRAIN_114,图书音像,好书啊 这次进货真是快啊。只是因为我等不及已在其他地方买了。 不过确实是一本好书想学的朋友买了绝对不会后悔的连序论部分都写得很有价值。 好多书包括很多教材我是根本不会去看序论的。,其他,1
TRAIN_115,图书音像,还可以 内容很丰富还可以啊,内容,1
TRAIN_116,图书音像,不错 不错 不过没有5500个词汇 就两千多一点 其他的都是高中词汇 省略了,其他,1
TRAIN_117,图书音像,有光盘的。纸质不错 原本看了其他评论很担心怕有破损或纸质不好什么的收到货以后觉得不错也没有破损纸质和装订都是我喜欢的关键是有光盘的。总之不错,包装,0
TRAIN_117,图书音像,有光盘的。纸质不错 原本看了其他评论很担心怕有破损或纸质不好什么的收到货以后觉得不错也没有破损纸质和装订都是我喜欢的关键是有光盘的。总之不错,纸张,0
TRAIN_118,图书音像,喜欢 书很好 插图还好 内容不错,内容,1
TRAIN_118,图书音像,喜欢 书很好 插图还好 内容不错,插图,1
TRAIN_119,图书音像,超喜欢 很好很精美 明信片也好看啦,包装,1
TRAIN_119,图书音像,超喜欢 很好很精美 明信片也好看啦,外观,1
TRAIN_120,图书音像,简直是骗钱 以为这本书内容有深度没想到打开看一页就不几个字说的东西也很浅对不起这个价钱内容质和量跟5块钱的期刊差不多,其他,0
TRAIN_121,图书音像,哈哈 好书 本人也是懒人一个.. 但挺喜欢吃的..这本书正好,其他,1
TRAIN_122,图书音像,售后不错 朋友推荐发货速度很快内容自不必说……,物流,1
TRAIN_122,图书音像,售后不错 朋友推荐发货速度很快内容自不必说……,内容,1
TRAIN_123,家用电器,还行就是声音太大了 还行就是声音大了点,噪音,1
TRAIN_124,电脑/办公,使用中 该卡正在使用中速度稍慢可能是C4的缘故很好,速度,0
TRAIN_125,美妆个护,很好 年前买的现在快没有了用了效果也不错准备再继续使用。,效果,1
TRAIN_126,图书音像,偶喜欢 小野田博一的书我看第三本了 的确不错哦,其他,1
TRAIN_127,图书音像,精华 精华版的不错浓缩的都是精华吗内容很全面也很实用。,其他,1
TRAIN_128,手机/数码,喜欢 用了这么久操作很顺手很喜欢等他家的全幅,其他,1
TRAIN_129,图书音像,没有临床经验的家族成员天天瞎说 外行看热闹内行看门道。 没有临床经验的家族成员天天到处瞎说八道。,其他,0
TRAIN_130,图书音像,好 不错。了解题型有帮助,其他,1
TRAIN_131,图书音像,第一张光盘根本放不了 第一张光盘根本放不了第二张的内容还没开始学书本也有问题钢琴老师说排版有问题因为指法的数字不应该写进五线内。,其他,0
TRAIN_132,图书音像,签名版的呃 今天收到了是飞烟签名的知识由于签名破包了书有点脏了,其他,1
TRAIN_133,家用电器,好用 机身很沉但小巧风力和温度都很到位价格也不贵希望可以很耐用,质量,1
TRAIN_133,家用电器,好用 机身很沉但小巧风力和温度都很到位价格也不贵希望可以很耐用,价格,1
TRAIN_134,图书音像,值得一看 不一定正确但值得一看,其他,1
TRAIN_135,图书音像,悲剧 100个故事没一个有好结局所以才叫有一种爱叫放手.,内容,1
TRAIN_136,图书音像,一套完整的会计实务资料 实验很系统、完整从建账初始化参数设置到购销存业务处理和财务处理到凭证自动生成到现金流量表、损益表、资产负债表编制会计实务一套完整的资料。,其他,1
TRAIN_137,其他,质量好 速度快质量好干净,质量,1
TRAIN_138,家用电器,用起来很好声音很小 用起来很好声音很小,噪音,1
TRAIN_139,电脑/办公,微软胡说八道 电池能用10个月 能用一个月就不错了 微软瞎说 电池能用连续使用10个月 通过我的亲身体验别的方面非常好 电池特别不耐用 如果不关闭鼠标 最多能用10天绝对不会达到十个月也不知道微软是怎么检测的建议大家买罗技鼠标,质量,1
TRAIN_140,图书音像,好书 先是在图书馆看到这本书奔着钱老的力荐去的果然不凡,插图,1
TRAIN_141,图书音像,难得的好书 实用性和可操作性都很强。爱不释手。应该永远放在手边的书。,其他,1
TRAIN_142,图书音像,为什么不进译文版 英文版的看了一半实在有点吃力想在joyo找译文怎么没有黄锦炎的译文,其他,1
TRAIN_143,图书音像,很好 内容很不错有感触。,内容,1
TRAIN_144,图书音像,很实用 对了解国内的金融市场很有帮助。,其他,1
TRAIN_145,图书音像,喜欢 给孩子买的孩子很喜欢而且质量很好,质量,1
TRAIN_146,图书音像,应该值得一看 这本书是在我看了一篇书评之后决定买下来的应该值得一看,其他,1
TRAIN_147,图书音像,看不懂呀 看不懂厚黑学的人伤不起呀已经束之高阁啦哎,其他,1
TRAIN_148,图书音像,好 包装很好而且这本内容超好看,外观,1
TRAIN_148,图书音像,好 包装很好而且这本内容超好看,内容,1
TRAIN_149,家用电器,第一次亚马逊 感觉很棒。特别是物流还有具体的也不能说的很清楚因为还没有使用过。,其他,1
TRAIN_150,图书音像,不错 纸质的书还是很不错的,纸张,1
TRAIN_151,图书音像,设计人员非正常的专业读本 将旅行、生活与设计枯燥的专业书结合绝妙的读本。不错,其他,1
TRAIN_152,美妆个护,感觉不错 价格实惠好用下次继续支持。,价格,1
TRAIN_153,家居生活,乐扣的七件套 发货很快而且是我喜欢的乐扣公司的同事看了也都说很好还要再买一套,物流,1
TRAIN_154,其他,香味有点刺鼻好像并不是我想要的 香味有点刺鼻好像并不是我想要的,其他,0
TRAIN_155,家用电器,还不错 试了一下还不错不过只能干用有点笑痛可以忍受,其他,1
TRAIN_156,图书音像,挺好 印刷排版注释都很好遗憾的是附送的cd不支持mp3格式只能在电脑上播放,印刷,1
TRAIN_156,图书音像,挺好 印刷排版注释都很好遗憾的是附送的cd不支持mp3格式只能在电脑上播放,排版,1
TRAIN_157,图书音像,实用且方便 作为一本随身的小册子里面涵盖的内容也是相当丰富的推荐给刚工作的朋友们,内容,1
TRAIN_158,图书音像,喜欢 就是冲着这本书来的。一定要买下,其他,1
TRAIN_159,电脑/办公,给母上买的。 给母上买的但是她不喜欢这种小的虽然我个人觉得还可以没有盖子可以栓绳子……反正母上不喜欢我就自己留着用了总的来说还是满意的。,其他,1
TRAIN_160,图书音像,印刷装订不好 有十几页都是空白的已办理退货一个月了还没有消息,印刷,0
TRAIN_161,图书音像,不错 图画很漂亮拿回家小孩就要求讲给他听。,外观,1
TRAIN_161,图书音像,不错 图画很漂亮拿回家小孩就要求讲给他听。,插图,1
TRAIN_162,图书音像,不错 为了回忆买的 可惜现实永远不是童话,其他,1
TRAIN_163,图书音像,商品很好寄送也快 商品不错。寄送也很快。之前看别人评论说这版用纸和裁剪不是很好拿到书后果然如此。不过无所谓了我买来是收藏用的。,其他,1
TRAIN_164,电脑/办公,再用目前还好 给五星也说几句 后来朋友告诉我此类存储卡如果速度快就更脆弱更容易坏。 不建议买16g建议4g的多买几个觉得有道理。 另亚马逊第一用可能还不清楚客服如何联系如何咨询算自己愚钝和卖家无关吧。,质量,0
TRAIN_164,电脑/办公,再用目前还好 给五星也说几句 后来朋友告诉我此类存储卡如果速度快就更脆弱更容易坏。 不建议买16g建议4g的多买几个觉得有道理。 另亚马逊第一用可能还不清楚客服如何联系如何咨询算自己愚钝和卖家无关吧。,速度,0
TRAIN_165,图书音像,小巧 书好小巧想起大学的六级单词本了。。,其他,1
TRAIN_166,手机/数码,Very good 必须说的是正品行货这个价格的确是便宜而且还带正规发票而且质量很好唯一美中不足的就是缺了个原装皮套哈哈总的来说就是很好很给力,质量,1
TRAIN_166,手机/数码,Very good 必须说的是正品行货这个价格的确是便宜而且还带正规发票而且质量很好唯一美中不足的就是缺了个原装皮套哈哈总的来说就是很好很给力,价格,1
TRAIN_167,图书音像,支持阿狸 阿狸还是一如既往的可爱 故事也是相当的温暖,其他,1
TRAIN_168,图书音像,平白的小故事。 也许文风不太对我的路子我觉得一般。初恋萌事...不太相衬。书可以看得很快其实没花多久就看完但是总会觉得少了点心动的感觉轻松和温暖什么的也觉得真的一般。有时会觉得文章的衔接有点生硬也许仅是个人观点。但是装帧很好封面很美。无聊消遣打发时间只想看个稍长的小故事也还算可以。,内容,0
TRAIN_168,图书音像,平白的小故事。 也许文风不太对我的路子我觉得一般。初恋萌事...不太相衬。书可以看得很快其实没花多久就看完但是总会觉得少了点心动的感觉轻松和温暖什么的也觉得真的一般。有时会觉得文章的衔接有点生硬也许仅是个人观点。但是装帧很好封面很美。无聊消遣打发时间只想看个稍长的小故事也还算可以。,封面,1
TRAIN_169,图书音像,非常满意 亚马逊真的非常棒我很满意,其他,1
TRAIN_170,图书音像,不好 主要是这个版本不行啊花费我金钱。其实其它版本的话我是喜欢这本书的。,其他,0
TRAIN_171,图书音像,很好 很新 书籍质量没问题 是新书 两天送到,其他,1
TRAIN_172,图书音像,值得一读 书的内容不错就是装帧版式一般。,内容,1
TRAIN_172,图书音像,值得一读 书的内容不错就是装帧版式一般。,封面,0
TRAIN_172,图书音像,值得一读 书的内容不错就是装帧版式一般。,排版,0
TRAIN_173,图书音像,可怜 每个人都有着几重身份悠子把自己的身份从老师转向母亲这也是她辞职的原因。她与深爱的人无法结婚是为了女儿。她一直未婚也是为了这个女儿。女儿是她爱的支柱甚至人生的支柱。这个支柱的倒塌也就是她人生的倒塌……,其他,1
TRAIN_174,图书音像,对亚马逊很失望 抱着很大的期望等了半个多月到最后却没有收到想要的书第一次到亚马逊购物就遇到这种情况对此感到非常失望,其他,1
TRAIN_175,图书音像,泡沫 全套都买了不错,其他,1
TRAIN_176,图书音像,真本书真心的很好 如果我在读研究生期间看过这样的书看文献就不会有那么辛苦了体会很多值得拥有,其他,1
TRAIN_177,图书音像,收益 让我懂得怎样成为一个更好的女人,其他,1
