数据ID,用户ID,商品ID,评论时间戳,评论标题,评论内容
TEST_44,135.0,PRODUCT_406693,1385827200,"小巧,精致","额,包装看上去是正品。"
TEST_45,140206.0,PRODUCT_463582,1313596800,普通,"送货速度快,书也很好,毕竟是凤凰出版社的,至于到底有多少教育意义,仁者见仁智者见智,希望有用!"
TEST_46,11088.0,PRODUCT_24839,1290960000,好,"内容详细,有例句,很实用,纸张也不错。"
TEST_47,916397.0,PRODUCT_365382,1336665600,满意~,"一直很担心书会不会被弄皱弄脏,现在终于放心啦~ 书很平整也很干净。就是有点味道,不过喜欢~"
TEST_48,1294781.0,PRODUCT_364385,1306944000,雅培 喜康宝 批号太老了,"包装有些旧了 并且有些挤了 批号是2010年08月的 到2012年08月 在一般孕婴店卖[…]。还没有用,不知效果怎样,只能拭目以待"
TEST_49,1459.0,PRODUCT_352968,1335888000,很好  颜色很正,"收到之后迫不及待的就打开试用,真的很不错,不干燥,要是再加上打底唇膏,那颜色水润,真的是很好看。"
TEST_50,471092.0,PRODUCT_359260,1330444800,值得购买,产品本身很迷你 大家需要搭配个挂件 发烫问题我觉得还好 我的经测试实际容量为30.02G 分量足 读取速度27.3MB/S 写入速度9.2MB/S 总的来说货真价实 这个价位绝对值 希望售后有保证 让时间证明吧
TEST_51,100832.0,PRODUCT_358316,1328112000,不错,"内容不错,物超所值,划算"
TEST_52,747823.0,PRODUCT_82177,1317052800,16这个价格的话总体来说可以入手了。,"2011.5月时25买的,今天看到只有16了,应该是最低的价了,要是再低,我真的就要无语了。纸是再生纸那种,泛黄,很轻,字相对来说小了点,看得有点累。还有一直疑惑一点就是,从头翻到尾就是没看到到标价?????"
TEST_53,1048394.0,PRODUCT_194039,1211558400,很一般,"说的东西很多人都知道,翻过一次就没必要再看了 不建议买,建议借来看看就可以了"
TEST_54,757218.0,PRODUCT_418517,1358092800,"买给自己,作为高三18岁这年送给自己的一本书。","一直都很喜欢张晓娴的文字,充满温情,浮躁时可以静心去阅读~快递人很好很贴心,包装完好。书很棒~"
TEST_55,4101.0,PRODUCT_57822,1355414400,还行,"有点简单,但还不错,纸质也还行,物流不错,说是15号到的,14号就到了"
TEST_56,325118.0,PRODUCT_315062,1375200000,经济类真题,"不是经济学科班出身的对这块真的不了解,做了题,真题答案讲得很详细,感觉还不错,和考试内容也挺贴近的,赞一个。"
TEST_57,635386.0,PRODUCT_207116,1327075200,好东西哦!,"啫喱状的化妆水,用起来很舒服。没什么香味,感觉很好哦!"
TEST_58,424515.0,PRODUCT_228423,1307376000,印刷一沓糊涂!!!,印刷一沓糊涂!!! 内容绝对经典!!
TEST_59,575899.0,PRODUCT_523118,1350403200,我挺喜欢  对自己有作用,书不错  就是不方便携带
TEST_60,125069.0,PRODUCT_49327,1355846400,满意,"又是一本值得阅读的书籍,很满意"
TEST_61,22214.0,PRODUCT_47139,1313510400,"木板书,很精美","整体感觉好,绘图精美,文字编排有特色,故事内容也很好。。只是内容对于一岁宝宝来说有点太深了,文字也多了点。。先收藏着"
TEST_62,79170.0,PRODUCT_399273,1334419200,"还在看,很好","内容很丰富,需要慢慢研读"
TEST_63,25140.0,PRODUCT_500339,1376668800,非常好的一本教材,"非常好的一本教材,适合高中三年使用。不过就是有一点概念上的错误。学生的使用时需要老师指导"
TEST_64,775526.0,PRODUCT_210721,1244131200,不错的书,很经典的热力学书籍。
TEST_65,7522.0,PRODUCT_417434,1325347200,小巧精致,"这款优盘小巧精致,包装也很正,还送了挂绳,速度还行吧,没具体测,挺满意的"
TEST_66,581634.0,PRODUCT_525168,1383840000,反应很慢,"手机反应很慢,有时候很很卡"
TEST_67,721023.0,PRODUCT_127709,1367251200,很不错的一本书,贯穿全部听力考点  非常适合四级备考
TEST_68,221359.0,PRODUCT_73979,1383148800,不错,"还不错吧,在用着了,第一次买这种木的,也没法子比较好坏了"
TEST_69,714582.0,PRODUCT_44055,1326038400,正品山寨坑爹,"和网页上介绍的绝对不一样!完全是欺骗,网页上介绍的天花乱坠,收到货后绝对的后悔! 1。做共粗糙,没有那种名牌的感觉! 2。颜色从粉红变成了深红色! 3。图标变从米妮成了芭比! 呵呵。。。。第一次在亚马逊买东西就被坑了,想要退货又太麻烦了,希望准备买的朋友们要慎重啊!"
TEST_70,301842.0,PRODUCT_223222,1275062400,赞,"书的质量很好,送货很快。"
TEST_71,1050149.0,PRODUCT_194775,1285948800,翻译得太差,"错误太多,代码居然大多是错误的,不只是写错了还是抄错了,霍顿老师的风格还是很好的,翻译得很烂"
TEST_72,80874.0,PRODUCT_125273,1316016000,不错,洗得很干净 卸妆是没问题 泡沫丰富 味儿也不错 不过确实像网上有的评论 洗完有点干
TEST_73,702751.0,PRODUCT_343092,1381420800,两本超值,"更喜欢细腻的线稿,入手的李大大第一本书~"
TEST_74,901453.0,PRODUCT_224647,1255536000,很值得拥有的一本书,很值得拥有的一本书
TEST_75,304617.0,PRODUCT_317624,1233849600,"头戴式耳麦,低音不错","重低音效果不错,听《有没有人告诉你》,还有《葬花》效果不错"
TEST_76,315204.0,PRODUCT_62662,1339257600,正品,"包装好,纸张好,内容好,最主要是孩子喜欢。支持!"
TEST_77,317.0,PRODUCT_500270,1364745600,很好,"内容很好,唯一遗憾的地方是光盘里的听力不完整,只有前面的主要词汇部分,后面几页几个专题的略过了。"
TEST_78,6223.0,PRODUCT_12411,1358956800,好,非常好的书 值得推荐 孩子读的话 最好都是上了初中
TEST_79,395003.0,PRODUCT_410858,1305734400,"起点里的网络小说,被骗了","起点里的网络小说,被骗了"
TEST_80,1314629.0,PRODUCT_380163,1300118400,围城,"建议买红皮那本英汉对照,很好!"
TEST_81,198.0,PRODUCT_388220,1338480000,"很小巧精致,但容易发热","很小巧精致,但容易发热"
TEST_82,47138.0,PRODUCT_91811,1318867200,还好~,"总体感觉值这个价钱,塑料感很强,出气量适中,刚用没有漏水,但不知道能用多久,卓越也没写多长时间的保修期,凑合用吧~"
TEST_83,743159.0,PRODUCT_53654,1231171200,印刷质量差。像盗版,印刷质量差。像盗版
TEST_84,1187285.0,PRODUCT_284139,1349107200,没啥用,"真的没啥用,堵耳朵的耳塞没啥用,耳朵塞得疼。眼罩下面会有光透过来,而且戴上会有很热 的感觉但是那个眼罩是海绵的,手感不错。"
TEST_85,481459.0,PRODUCT_497106,1380470400,无内涵,"没法看,太简单了,简直浪费时间"
TEST_86,509218.0,PRODUCT_504038,1201881600,经典!,只能用经典来形容了!
TEST_87,96863.0,PRODUCT_318882,1365004800,去年中秋买的。用后才评价的,"去年中秋时买的。用了半年才来评价的。优点:手机样子还是可以的。很薄很轻巧,适合女生用。缺点:手机铃声非常小,经常听不到电话响。偶尔无缘无故的自动重启,汗。好吧,现在手机直充不进电了,但是插上数据线还是显示有连接USB,就是充不进电。保修还没过,可我却不知该联系谁来保修了。起初充满电时显示灯还是会变成蓝色的。后来显示灯不变蓝了,充多久都不再变蓝了,现在连电都充不进了。售后服务绝对是硬伤,期待给我个答复。"
TEST_88,679129.0,PRODUCT_31258,1373990400,物流真的很差劲,"用了几天,里面开始有水斑,估计跟水有关系,另外,里面水壶底部的位置,有点黄色的,用手洗不掉,像是铁锈,89元的东西,凑合用吧,烧水速度很快,外观也还好,就不退了"
TEST_89,65889.0,PRODUCT_135637,1353081600,"这本书不错,正在看。","这本书不错,正在看。作者的观点很有新意。 少陵的人格和诗品在我心中更高深了许多许多。 毛主席为什么不像喜欢李白那样喜欢杜甫呢? 我想可能是前人对杜甫的研究还是有些偏颇吧, 这也为韩成武先生留不少深入提高的空间。"
TEST_90,3143.0,PRODUCT_492348,1309795200,感觉诗写的不是很美,诗很短 而且用现在的眼光看感觉有点俗 不是我想象中那样 根本找不到见与不见那首诗的感觉
TEST_91,364339.0,PRODUCT_430669,1208188800,说他文字不好没长进 这种恨铁不成钢的心情可以理解,韩寒的文字如果说很差劲那倒不至于 但是韩寒确实应该多多再修炼他的文字 提升自己的水平 我想喜欢韩寒的人都不会觉得要求韩寒把文章写得再好一些是过分的无理的 韩寒的独立思想对整个大陆文字创作环境很宝贵 希望他把文字写得更好一些 如果他能意识到并且做了 那只会让所有喜欢韩寒的人更欣慰 也会让那些讨厌韩寒认识不到他的价值的人改变一些
TEST_92,265918.0,PRODUCT_81161,1384876800,商品和服务都很好,"鼠标已使用,感觉良好 售后服务非常好。本人对于发票方面有疑问,商家很快来电询问相关事宜,并不开发票快递发来,非常感谢"
TEST_93,316880.0,PRODUCT_144754,1343577600,。。。,里面有好几页都折进去了耶 压了好久都不平  差评!
TEST_94,731076.0,PRODUCT_49806,1372953600,东西不错,"东西不错,就是没有说明书上运行2分钟后的提示音功能!"
TEST_95,18404.0,PRODUCT_506816,1377964800,有点油,"香香的,我皮肤比较油,觉得这个不够清爽,送给同事了"
TEST_96,19157.0,PRODUCT_33519,1364140800,"值得收藏,绝对正版","中文专业毕业,竟然第一次好好学习《说文解字》,受益甚多!以前总自诩自己能比别人多认字,现在才知道自己不识字。 四册书包涵了太多的中国文化,还有我们老祖宗们的智慧。一个字一个字的细细看,他们的生活也似在眼前。同时心中庆幸汉字没有被拉丁化,否则我们去哪儿找根?四册才一百多,超爱,值得购买,值得收藏"
TEST_97,764825.0,PRODUCT_79566,1357401600,"比较舒适,也很结实","比较舒适,也很结实的"
TEST_98,873544.0,PRODUCT_104242,1376928000,里面竟然有六页纸是空白,"书不像是真的哎,书的第20,21两章出现了好几页空白"
TEST_99,248744.0,PRODUCT_521331,1344873600,好笔,"老牌子,好品质,性价一般"
TEST_100,44123.0,PRODUCT_404225,1384617600,不错,"不错,bug单的时候买的"
TEST_101,48377.0,PRODUCT_117229,1323705600,中文翻译太烂,"特意在孔夫子上买了中文版,发现翻译太烂,所以才买的原版。。。是一本经典的书。"
TEST_102,69956.0,PRODUCT_405016,1363795200,非常好用的鼠标,"很喜欢,用了好久还没有坏"
TEST_103,782166.0,PRODUCT_67971,1340208000,此书是惨烈却没有硝烟战争中的必用武器,"如果此书,在中国政府处级以上干部中人手一本又能认真阅读的话,我愿意提供10万元的购书成本。"
TEST_104,822422.0,PRODUCT_189250,1317916800,购买了还不知道怎么样,"东西收到了,也试吃了,感觉不是焦脆,也就那样吧,分量是不少,物有所值老年人吃是可以的,!"
TEST_105,10052.0,PRODUCT_448289,1223827200,怀念海子,书质量很好 价格也不贵 但是封面花哨
TEST_106,106334.0,PRODUCT_279480,1371830400,实用,"很实用的工具书,真棒"
TEST_107,125627.0,PRODUCT_143207,1238083200,喜欢,"书来的时候是塑封的,很干净。封面是硬壳的,印刷装帧都不错,适合普通收藏。内容就不用说了。"
TEST_108,36752.0,PRODUCT_199791,1273593600,很有用,对自学有很大的帮助~非常实用~
TEST_109,87235.0,PRODUCT_350725,1381852800,好东西啊,入门级音乐耳机里最佳选择啊 外形还挺漂亮
TEST_110,164088.0,PRODUCT_57126,1373385600,说的太泛泛,"内容感觉枯燥,干涩!让人打瞌睡"
TEST_111,171962.0,PRODUCT_74681,1332345600,不错不错,"确实好,没后悔买。书质量和发货速度的什么都可以"
TEST_112,938636.0,PRODUCT_135401,1227974400,评论,"这本书内容很好,体系较完整,适合考行政法专业的同学。特别是沪浙地区,他们指定的教材。研究生居家必备。"
TEST_113,596441.0,PRODUCT_319739,1365609600,12周摘掉眼镜恢复视力:眼镜和手术之外的第三种方法(10周年纪念版)(附赠实力测试及改善视力工具),这个产品还可以了吧OKOK
TEST_114,203615.0,PRODUCT_152108,1376841600,好,"书很好,还是原版看起来舒服"
TEST_115,226054.0,PRODUCT_463427,1325692800,好用!,"非常好用,用了很久,可以边洗澡边剃胡子不怕进水非常方便。楼下有人说刚买来就把男朋友刮伤了,我真想知道他是如何操作才能刮伤的,把网拆了然后刮胡子吗?"
TEST_116,191097.0,PRODUCT_102792,1353945600,不错 内容充实,不错 内容充实 值得购买
TEST_117,65127.0,PRODUCT_72649,1337702400,很好,"是正品,价格便宜,纸张很好,喜欢这个出版社的书"
TEST_118,523897.0,PRODUCT_420116,1375027200,送给媳妇的礼物,"集平板和手机与一身,手感也特好,大小感觉挺合适的,携带也方便!媳妇也很喜欢!就是电池有点小,具体容量没细看,但一天一充是必须的。"
TEST_119,17616.0,PRODUCT_191839,1367078400,"还没用,不知道怎么样","还没用啊,过些时才知道怎么样"
TEST_120,371100.0,PRODUCT_442013,1348588800,非常满意,"产品做工和质量很好,很漂亮,用起来很舒服,唯一的问题是鼠标上的软橡胶,比较容易落灰。 当然,手小的人可能用起来比较费劲。"
TEST_121,101196.0,PRODUCT_300768,1377273600,发货速度快!,"卡是台湾产,卡套是中国产都是“中国制造”不错啊!"
TEST_122,56939.0,PRODUCT_300595,1298476800,教材,还是课比教材本身更胜一筹!
TEST_123,64829.0,PRODUCT_176717,1339862400,好,"相当不错,很好的一本书,很喜欢"
TEST_124,869490.0,PRODUCT_102837,1314806400,这就叫回来,"你厌倦一个地方,必须要离开它去远方,然后再次爱上它,这就叫回来。"
TEST_125,99488.0,PRODUCT_186040,1368720000,"托盘有点不吻合,轮子安装方式很奇怪","我很庆幸买了带轮子的,家面积小,带轮子可以方便拖动,又不显得碍事。 安装很简单,因为托盘是扣上去的,所以凹痕与杆子之间的吻合很重要,有个别地方需要用力按压才能扣进去。 轮子是直接放上去,不需要拧螺丝,直接放进空心杆子里面即可,我觉得很奇怪,不影响使用。"
TEST_126,680835.0,PRODUCT_31899,1293724800,"值得购买,非常喜欢!","本书通俗易懂,印刷精美,值得购买。送货速度很快,服务很好!"
TEST_127,38792.0,PRODUCT_128288,1370966400,虽然封面略丑,但排版真的是超级舒服~
TEST_128,776901.0,PRODUCT_421863,1284998400,相信卓越,"卓越很好!书便宜,质量又可靠,而且速度也快!"
TEST_129,6798.0,PRODUCT_427560,1184947200,我觉得她长得有点像我最爱的三毛,我觉得她长得有点像我最爱的三毛
TEST_130,275151.0,PRODUCT_375814,1260892800,喜欢,"不错的书,打了4星,把5星留给《一九八四》"
TEST_131,780625.0,PRODUCT_67261,1368892800,淡淡的温馨,"我和同学都很喜欢渥丹的小说,这本是难得的he,很有爱~"
TEST_132,892796.0,PRODUCT_176067,1319817600,欧莱雅保湿精华凝露,"很满意,很喜欢,用后水水的,是正品.价格比较实惠,欧莱雅的凝露和洁面膏加起来86元"
TEST_133,384141.0,PRODUCT_465825,1354118400,题目很灵活,"目前做的最好的一本习题。没有偏怪题,题目很灵活,也很幽默,做的时候觉得很有兴趣。社会心理学方面的题目挺多,错的也挺多,不过现在错的多比考试时候错的多强多了。。。对照着错题看书,感觉一些没理解深刻的东西通过题目中的例子理解到了。感觉讲解不太详细,但是激励着我们看书啊!"
TEST_134,212319.0,PRODUCT_234884,1221667200,一般,"但是在新东方的杂志上看到的时候,很激动,就到处找,决定看看,结果收到的时候,心凉呀,不是我想想的样子,不过凑合了,里面的东西还是有点价值的。"
TEST_135,1138.0,PRODUCT_295023,1296489600,好书,看了几乎她的所有的书了。很喜欢。 虽然我已经不再大城市打拼了。
TEST_136,46144.0,PRODUCT_478315,1376409600,质量不错,"辽宁省地图册质量不错,印刷精细,很好."
TEST_137,369475.0,PRODUCT_439313,1242662400,什么时候有货,"这些漫画,第一次是在天涯上看到的,告诉了正在学厨的老姐,她很喜欢。她一直追看连载漫画,她说比小煮意好看多了。 现在出书了,准备买一本作为她结婚的礼物送给她,就当是她婚礼没法参加的补偿了,我想她一定会喜欢的。 赶快到货吧。"
TEST_138,278374.0,PRODUCT_326892,1368892800,感觉很不错,"每次邮寄都很快,蛮给力的"
TEST_139,888192.0,PRODUCT_111616,1325001600,好,"内容很简单,道理很深奥。"
TEST_140,539.0,PRODUCT_365904,1374336000,喜欢村上的书,不知道为什么书很轻……不太像国内的出版感觉……
TEST_141,285082.0,PRODUCT_156266,1373644800,略枯燥。。。但很棒~,"拿到手觉得好厚一本= =翻开之后就看了一章,说实话,如果对这方面感兴趣的话会越看越投入,如果只是一般翻翻的话恐怕会看不下去。。。它确实挺枯燥而且图不多,很厚一本都是字大概会吓退一些人= =不过我超级喜欢实在是很划算啊~~~"
TEST_142,742106.0,PRODUCT_53452,1243353600,非常好的书,"女儿很喜欢,看了好多遍"
TEST_143,406.0,PRODUCT_24346,1366992000,实用,"书蛮实用的,适合刚毕业的医学生使用"
TEST_144,99851.0,PRODUCT_404699,1361980800,逻辑考试必备,"权威,详尽!希望一本可以搞定逻辑复习考试!"
TEST_145,134297.0,PRODUCT_383389,1333382400,飞科剃须刀的FS711,"剃须刀很赞,用起来,丝毛不剩...呵呵"
TEST_146,6843.0,PRODUCT_84365,1312819200,好教材,"还可以,适合辅导。就是印刷的字容易掉色,把纸张弄脏,不过不影响使用。"
TEST_147,24704.0,PRODUCT_502951,1349280000,一般,"若不是老师要定这本书做教材,我想我是不会买这本书的吧,内容比较简单,适合初学者"
TEST_148,7303.0,PRODUCT_420089,1356710400,"物流给力,书的内容还好。","先赞一个,物流给力,隔日到。 书的内容,读起来有点酸秀才的感觉,有些文章稍稍浮夸"
TEST_149,144403.0,PRODUCT_188370,1363622400,好东西,"洗完后脸上滑滑的,感觉不错,就是只有一半的量,全是空气啊"
TEST_150,1028932.0,PRODUCT_183206,1349280000,金士顿内存条,"非常不错,性价比很高,比其他网站上的价格低"
TEST_151,308842.0,PRODUCT_442185,1346256000,不错,"用着不错,不过说是8g实际只有7.2g"
TEST_152,1225460.0,PRODUCT_311429,1214928000,值得看的一本书,"新的视觉, 新的感受,我会关注作者其它作品."
TEST_153,1369271.0,PRODUCT_425271,1366732800,好喜欢的东东,"好喜欢的东东,再也不用吃锅底了,功能、外观都是很理想的哦!有这样的锅,吃饭变得简洁、快捷、高效。不足之处是不能熬稀饭。"
TEST_154,139642.0,PRODUCT_506605,1378224000,"不错,简单,买给孩子做手工的。","不错,简单,买给孩子做手工的。"
TEST_155,60514.0,PRODUCT_131568,1309104000,很好的一本书。,"排版简单,还算比较易读。喜欢高罗佩的人可以买来看看,关于他的一些事,挺有意思的。还算有一定的信息含量!"
TEST_156,29608.0,PRODUCT_512221,1372003200,喜欢,"内容充实,价格合理。"
TEST_157,862.0,PRODUCT_265079,1363017600,"味道不错,携带方便","味道不错,携带方便,适合夏天随身携带"
TEST_158,330327.0,PRODUCT_83130,1325260800,天上掉馅饼!,这本书居然没花一分钱拿到手的!也不知道是卓越的优惠还是系统的问题!!!总之超级惊喜啊!!!这本书是老师推荐的~~的确不错~~
TEST_159,443904.0,PRODUCT_18379,1235318400,挺实用,"这本书买了送给朋友,听说操作性很强,希望大家都能有所收获"
TEST_160,24058.0,PRODUCT_386758,1335888000,孩子很喜欢,"孩子很喜欢,一口气把一套书全看完了,还想看第五,不知道什么时间有货。"
TEST_161,281986.0,PRODUCT_103755,1340035200,性价比不错,"前几天在亚马逊买了一个,大概测了一下,性能不错,觉得性价比挺好,于是又买了一个。送货速度挺快,包装也很正规。只是有一点小小的奇怪,两次买的同品牌同规格的卡,第一张卡背后没有""SanDisk""的印记,而第二张卡背后则有这个印记。印象中闪迪的卡似乎背后都有这个印记。两张卡的防伪查询都通过了,简单测试了一下,性能也都达到要求,总的感觉是性价比还不错吧。"
TEST_162,340644.0,PRODUCT_522014,1368633600,不错,"很不错,而且挺漂亮的"
TEST_163,582146.0,PRODUCT_85687,1381680000,这个作家很棒,"因为《寻路中国》,关注彼得·海斯勒 他写东西观察得非常仔细 语言也幽默 从外国人的视角看中国很有趣 而且又对中国有所了解 翻译得也好 毫无生硬感"
TEST_164,706815.0,PRODUCT_152148,1345996800,心动的书,"石头的手工实施有些困难,但逐步向这个方向努力效果就不错,可以开拓思路,不错的书"
