数据ID,用户ID,商品ID,评论时间戳,评论标题,评论内容,评分
TRAIN_40,107104.0,PRODUCT_40668,1380211200,很不错,"帮姐姐家小孩子买的,,,",5.0
TRAIN_41,53978.0,PRODUCT_63701,1376064000,看在不足千元的价格上给4星吧!,"虽然价格挺实惠,但设计得不是很好! 调节变焦没有我用的佳能方便(变焦环太小了!) 关闭了数码变焦仍然进行数码变焦(只是降到了光学+数码变焦共25X,而不是只到光学的12.5X) 没有调节场景的快捷键设置很麻烦",4.0
TRAIN_42,75798.0,PRODUCT_404850,1359388800,女儿喜欢,"女儿说特别喜欢这本书,看完还列了学习计划。",5.0
TRAIN_43,228118.0,PRODUCT_318740,1386345600,跟正品有区别,产品和专柜买的有区别。,2.0
TRAIN_44,400292.0,PRODUCT_339957,1363363200,小孩子很喜欢,"小孩很喜欢,和同桌换着看",5.0
TRAIN_45,654730.0,PRODUCT_22644,1372608000,很漂亮的书,"收到后很开心,不论是包装还是因刷都很漂亮,绝对称的上经典。里面的内容更加赞,我是立体绣的初学者,这本书一看以为很难,但是仔细研读下来发现步骤很简单,自己尝试了一下发现以能绣个八九不离十,所以还是很庆幸被推荐了这本书,即使不看也绝对值得收藏。",5.0
TRAIN_46,207432.0,PRODUCT_422264,1325433600,还好还好,"外壳没我想像中的那么满意,其它都很好。",4.0
TRAIN_47,14990.0,PRODUCT_392710,1333728000,很好,很好~讲的很基础~通俗易懂,5.0
TRAIN_48,198114.0,PRODUCT_398572,1287936000,很专业,很专业系统 不过有些在国内不适用 毕竟天朝是天朝 美帝是美帝,4.0
TRAIN_49,93615.0,PRODUCT_505565,1328544000,"东西正常,物流不爽","东西用了四天,还可以,3.6G,正常。 可是有一点,我明明写明了工作日送货的,却在周六吵着要我收货...谁能解释一下。",4.0
TRAIN_50,65925.0,PRODUCT_442017,1354377600,物有所值,"外观沉稳时尚,做工精细,光线柔和,有重量",5.0
TRAIN_51,18414.0,PRODUCT_354752,1344096000,敏感肌肤谨慎!!!!!!!!!1,我用了脸全过敏 很红 不知道能不能退!,2.0
TRAIN_52,786614.0,PRODUCT_70213,1384617600,用了一个月感觉还好,"虽说单核的很慢,内存也小,但是不玩游戏只上QQ微信还是完全能满足使用要求的 主要是是480的价格也说的过去",4.0
TRAIN_53,218304.0,PRODUCT_276274,1284566400,网线...,"东西很快到了,但是打开失望发现没有网线,不知道厂家怎么想的,一根网线没几个钱,但是出去买很费神!",1.0
TRAIN_54,1264103.0,PRODUCT_340283,1203782400,"服务很方便,信誉很好!","服务很方便,信誉很好!",4.0
TRAIN_55,21680.0,PRODUCT_417315,1374249600,"很舒服,干剃很舒服。","一直干剃须,剃的也比较干净,电力也很耐用。",5.0
TRAIN_56,350018.0,PRODUCT_90263,1325088000,还好吧,"机器还好吧。换过一次。第一次是座机有划痕,很快就换了一个,结果无线子机上有轻微划痕,勉强接收吧。卓越的服务真的很不错,快递速度也很给力。就是最好在商品上把一下关就好了。电话机可以留言,但是留言的提示音太难听了。",4.0
TRAIN_57,156855.0,PRODUCT_108259,1340553600,刚用觉得有点刺激,"我是在大润发买的250ml 20块钱,薄荷味感觉特别浓,刚用了两次觉得有点刺激,漱完口舌头都有点麻了,用几次可能就习惯点吧,下次打算买个口味清淡些的。。",4.0
TRAIN_58,348492.0,PRODUCT_123627,1208275200,有破页,"质量不怎么样,中间有个破损页,幸亏发现了 还得找客服,真是麻烦",3.0
TRAIN_59,230495.0,PRODUCT_170448,1382803200,儿童的福星,是一本指导现代育儿的经典之作!能避免很多无知的爱!,5.0
TRAIN_60,360307.0,PRODUCT_467334,1265299200,第一次在卓越买书,"比预计日期早一天收到书,非常惊喜!只是封面有些许划痕,因为想收藏,觉得有些遗憾,但整体还是挺好!",4.0
TRAIN_61,13.0,PRODUCT_426647,1220198400,有点不开心,"字比较紧密,价格也高了点,比中国的书32开排版小,感觉不舒服.很薄的.",3.0
TRAIN_62,189991.0,PRODUCT_73829,1354118400,又被骗了,"筛选条件是3岁以下,但商品明明标示不适合6岁以下",3.0
TRAIN_63,21290.0,PRODUCT_314063,1375632000,实话实说,老外骗钱!!没用处的  东西,3.0
TRAIN_64,618034.0,PRODUCT_238817,1380729600,好,用了还可以哪。。。不错,4.0
TRAIN_65,412.0,PRODUCT_107909,1359907200,很好,"用了两个,感觉很不错,密封性很好,也挺厚实的样子,推荐。",5.0
TRAIN_66,159924.0,PRODUCT_445902,1364140800,路由器,"简单实用,发货速度也比较快",5.0
TRAIN_67,16132.0,PRODUCT_328938,1254067200,评 德生PL-600高性能全波段数字调谐立体声收音机,"德生PL-600收音机,我买过两台,都不怎么满意。一是体积过大,较为笨重。音色还不如德生9700dx,短波灵敏度也好不了多少,因此我不怎么喜欢。",3.0
TRAIN_68,37931.0,PRODUCT_406693,1381248000,根本没有16G,"现在的东西也太假了,说是16G,但连12G的3D电影都装不下",1.0
TRAIN_69,46395.0,PRODUCT_46075,1357315200,超级商品,"自己拍,专业拍,不必经常背单反了,简单家用足够了,照片超级清晰",5.0
TRAIN_70,2544.0,PRODUCT_172578,1319731200,需要的就是最好的,需要的就是最好的~~~~,5.0
TRAIN_71,60283.0,PRODUCT_230173,1321804800,"21天,不错~","书很小巧,适合随身携带记忆, 整体感觉不错~",5.0
TRAIN_72,208113.0,PRODUCT_465771,1247328000,太一般,"内容一般,知识含量过低",2.0
TRAIN_73,10141.0,PRODUCT_389913,1386864000,SO SO,"形式是好的,但是内容过于太少,且过于抽象,对于1-3的宝宝而言未必太适合。",3.0
TRAIN_74,502330.0,PRODUCT_158346,1186416000,很不爽....,买的时候说送什么礼包啊什么的..拿到手的礼品就一个书签....请你们解释下...,4.0
TRAIN_75,412079.0,PRODUCT_478837,1378137600,很不错,"声音不错,低音比PX80有力,当然比五六百以上的大耳罩低音弹性少差,头梁弹性大夹头,带久了耳朵疼,但可以捏住两边接头处反向掰,当然要小心,虽有弹性,但毁了后果自负",5.0
TRAIN_76,364505.0,PRODUCT_431202,1276444800,专业里的非专业,"买过DK的《鲸与海豚》,觉得不错又买了《恐龙与史前生命》,到手发觉内容不多又翻译得欠佳,对于稍想深入了解的读者意义不大,图片也不够精美,不值得专业收藏;一般的读者仅供参考。",2.0
TRAIN_77,39938.0,PRODUCT_291114,1363363200,格兰仕微波炉,"宝贝送人了,朋友夸好用。我认为超值,实体店和超市要贵许多哦。",5.0
TRAIN_78,206751.0,PRODUCT_412481,1375027200,彩色小本,"彩色小本,操作方便,图文并茂,简单易学,准备好好学起来,让家人更健康",4.0
TRAIN_79,203016.0,PRODUCT_158297,1372521600,超爱,"看过电影,书也超爱的,就是没有插图。",5.0
TRAIN_80,408582.0,PRODUCT_108865,1347638400,适合大学生读,"我一高中生没读下去。也就是一般的励志书,没什么特别的。好失望。",3.0
TRAIN_81,321339.0,PRODUCT_72402,1366041600,引力量子,"总体说来还不错,很详细",4.0
TRAIN_82,1090022.0,PRODUCT_219203,1372089600,少儿少女的喜爱,呵呵 女儿喜欢。还有继续关注后续的书,5.0
TRAIN_83,113170.0,PRODUCT_356693,1384531200,《马克思主义基本原理概论》,"新版图书真的不错哦,内容新颖,条理,清晰,很适合学习用。",5.0
TRAIN_84,24209.0,PRODUCT_60374,1239638400,非常好的历史励志,"朱元璋传讲述了朱元璋一生的经历,流落街头的乞丐,农民军的首领,开国皇帝,奋斗历程是一本非常好的历史励志,从他的身上更能找着自己的影子,并找寻到奋斗的方向。而且这个版本图文结合,阅读起来很有重现历史的感觉,很真实。而且文字非常风趣。我买了。赶紧去告诉我的朋友们,让他们也买来看看,希望我们都走出迷茫。",5.0
TRAIN_85,1091155.0,PRODUCT_219930,1336060800,很可爱的小书,"是一套可爱的书童书,能让孩子认识大自然中的动物生活常识。书质量很好,照片也好,寓教于乐。",5.0
TRAIN_86,37707.0,PRODUCT_239525,1382544000,"挺好,挺好看","很漂亮,很喜欢,还在功能开发中",5.0
TRAIN_87,504035.0,PRODUCT_437389,1369238400,点评四级真题,"很适合我用,答案很详细",5.0
TRAIN_88,911845.0,PRODUCT_122105,1383148800,用了一次,"刚买了,可降价了,用了一次,感觉还行,。。",5.0
TRAIN_89,12107.0,PRODUCT_163066,1360857600,味道好大,"里面塑料件的塑料味好大,洗、泡、打开盖子放,搞了一个多礼拜还是一样,比哈尔斯的差远了。",1.0
TRAIN_90,751018.0,PRODUCT_230555,1335196800,好书,"很好的书!內容好,畫面精緻,情節感人!愛它!愛寂地和阿梗!",5.0
TRAIN_91,5643.0,PRODUCT_75315,1357228800,还是比骄合适,"用起来,好将就,优点双卡双模双核双待。缺点:反映优点慢,电池用得快。不过这个价位的我觉得还是可以了。",4.0
TRAIN_92,5521.0,PRODUCT_189784,1334851200,总体来说不错,"书的质量很好,内容还没怎么看,不过总体来说还不错",4.0
TRAIN_93,142337.0,PRODUCT_437771,1377619200,只是收到信息说已从库房发出,"我就已经感动的几乎热泪盈眶。我是预售的啊!!! 半个多月才发出,这个过程我辗转反侧,望穿秋水",5.0
TRAIN_94,51.0,PRODUCT_405888,1380038400,不错,"我觉得挺不错的,实用",5.0
TRAIN_95,609065.0,PRODUCT_7627,1325174400,很好用的削铅笔刀,"很好用的小铅笔刀,物美价廉,很好",5.0
TRAIN_96,1867.0,PRODUCT_152020,1282233600,非常好,"很好的,轻巧,携带方便。也比较简单,能看懂。经典的作品,经典的版本。",5.0
TRAIN_97,123601.0,PRODUCT_464318,1370361600,质量好内容丰富,质量好 内容丰富 希望宝宝越听越聪明~,5.0
TRAIN_98,374106.0,PRODUCT_248213,1354636800,"不错,不错。","和想像差不多,手感还可以。",5.0
TRAIN_99,277791.0,PRODUCT_152453,1289750400,不错,"不错,一本值得品味的书",4.0
TRAIN_100,157945.0,PRODUCT_411145,1350144000,吉他,很适合0基础的同学学习吉他哦!~,5.0
TRAIN_101,1140236.0,PRODUCT_327996,1205769600,喜欢老歌,挺喜欢里面的这些老歌!,5.0
TRAIN_102,621649.0,PRODUCT_315386,1382112000,"东西不错,正品","电池很不错,绝对正品。物美价廉",5.0
TRAIN_103,980272.0,PRODUCT_457344,1338048000,平凡的世界不平凡,"一本非常适合现在青年人读的书,能激发青年人的责任感和使命感,推荐。",5.0
TRAIN_104,250030.0,PRODUCT_86950,1369929600,值得拥有,"儿子和同学分享着看的, 不错!",4.0
TRAIN_105,30760.0,PRODUCT_248304,1313251200,"很不怎么样的一本书,后悔中。。。","本来以为是类似答疑推理类的作者官方解疑,谁知道是东拼西凑的一些垃圾鬼故事,莫名其妙的。。。很令人失望。。比较差劲的一本书~",1.0
TRAIN_106,68313.0,PRODUCT_77907,1325520000,大牌、稳定,"买给老妈手机里用的,稳定没问题。。。",5.0
TRAIN_107,809475.0,PRODUCT_78969,1370966400,内容不错,"画面制作精美,我儿子很喜欢!",5.0
TRAIN_108,259363.0,PRODUCT_465538,1377792000,"帮朋友买的,具体不知道","帮朋友买的,具体不知道",5.0
TRAIN_109,1094133.0,PRODUCT_221495,1381852800,其實還好額,啊啊啊啊啊啊啊啊 用了好幾天了 感覺有點坑了 信號無故斷掉 還有無故黑頻又啟動不了(也沒有很多人說的那麼差勁的啦=。=電池什麼的看視頻可是看很久額、運行速度也蠻不錯的 因為剛用了兩天還沒有什麼特別大的問題、不知道一個月之後會不會壞了==)),5.0
TRAIN_110,422275.0,PRODUCT_5872,1353772800,"考研日语二外,非常好用","是测试卷,但是做成了书本的样子,以前用过的测试卷很容易散,这个方便多了。 两棵一小考,四课一大练,很好。 题型规划也很合理,还有五十音图的测试,很适合自学的测试和没有基础的同学用。 有单词测试,比如汉字写平假名,平假名写出对应的汉字,而且都是放在句子中进行训练的,很好用。 然后是语法的题目,主要是连接词的使用,有三大题,类似完形填空的和选择题的。然后是日汉互译。 我是考研的,日语二外,这个简直就是我的救星啊!!不过没有听力,所以要是想考日语的童鞋还要去找一本带听力练习的才行。",5.0
TRAIN_111,589239.0,PRODUCT_469063,1314979200,推荐,当天下单 第二天就到了 卓越还是很靠谱的~~ 书的质量一般 内容上来说 个人觉得更适合入行的我们等菜鸟作为指导来看 很多东西都是很有指导意义的 理论性原则性比较强 技巧等方面的东西就需要自己另外的补充和积累了 总而言之 推荐,5.0
TRAIN_112,819636.0,PRODUCT_83338,1319990400,真的值得一读,"给人耳目一新的感觉,说的具体,有生活指导意义",5.0
TRAIN_113,57070.0,PRODUCT_385895,1304956800,CD存在瑕疵!,"在播放第四首《假行僧》到50秒左右会卡碟,一直会卡到2分钟的播放时间!原以为是MINI音响的问题,后用蓝光DVD播放卡碟后,直接就跳到下一曲了(看来我的音响的纠错比蓝光要好)!碟片表面没有任何的损伤!以为是碟片问题,后经换货!问题依然存在!看来是碟片制作时候的问题!这是一张精选,要不要买自己决定吧!我也不退了(有这种收藏也挺特别的)!",3.0
TRAIN_114,169797.0,PRODUCT_71226,1247760000,好书啊,"这次进货真是快啊。只是因为我等不及,已在其他地方买了。 不过,确实是一本好书,想学的朋友买了绝对不会后悔的,连序论部分都写得很有价值。 好多书,包括很多教材,我是根本不会去看序论的。",5.0
TRAIN_115,830123.0,PRODUCT_103794,1373990400,还可以,"内容很丰富,还可以啊",5.0
TRAIN_116,631246.0,PRODUCT_25534,1318694400,不错,不错 不过没有5500个词汇 就两千多一点 其他的都是高中词汇 省略了,5.0
TRAIN_117,233633.0,PRODUCT_176991,1379347200,有光盘的。纸质不错,"原本看了其他评论很担心,怕有破损或纸质不好什么的,收到货以后觉得不错,也没有破损,纸质和装订都是我喜欢的,关键是有光盘的。总之不错",5.0
TRAIN_118,1708.0,PRODUCT_45422,1363536000,喜欢,书很好  插图还好 内容不错,5.0
TRAIN_119,365580.0,PRODUCT_396915,1383062400,超喜欢!!,很好!!很精美 明信片也好看啦,5.0
TRAIN_120,7722.0,PRODUCT_242061,1295539200,简直是骗钱,"以为这本书内容有深度,没想到打开看一页就不几个字,说的东西也很浅,对不起这个价钱,内容质和量跟5块钱的期刊差不多",1.0
TRAIN_121,643062.0,PRODUCT_18362,1120838400,哈哈 好书,本人也是懒人一个.. 但挺喜欢吃的..这本书正好,4.0
TRAIN_122,105390.0,PRODUCT_138124,1333814400,售后不错!,"朋友推荐,发货速度很快!内容自不必说……",5.0
TRAIN_123,14809.0,PRODUCT_451148,1375891200,"还行,就是声音太大了","还行,就是声音大了点",4.0
TRAIN_124,84319.0,PRODUCT_336101,1327680000,使用中,"该卡正在使用中,速度稍慢,可能是C4的缘故,很好",5.0
TRAIN_125,2528.0,PRODUCT_470613,1375545600,很好,"年前买的,现在快没有了,用了效果也不错,准备再继续使用。",5.0
TRAIN_126,414727.0,PRODUCT_479708,1326146519,偶喜欢,小野田博一的书我看第三本了 的确不错哦!,4.0
TRAIN_127,709444.0,PRODUCT_53886,1258905600,精华,"精华版的不错,浓缩的都是精华吗,内容很全面也很实用。",5.0
TRAIN_128,162722.0,PRODUCT_75320,1380902400,喜欢,"用了这么久,操作很顺手,很喜欢,等他家的全幅",5.0
TRAIN_129,78489.0,PRODUCT_353579,1280073600,没有临床经验的家族成员天天瞎说,"外行看热闹,内行看门道。  没有临床经验的家族成员天天到处瞎说八道。",1.0
TRAIN_130,297385.0,PRODUCT_506067,1362931200,好,不错。了解题型有帮助,5.0
TRAIN_131,623845.0,PRODUCT_370368,1359302400,第一张光盘根本放不了,"第一张光盘根本放不了,第二张的内容还没开始学,书本也有问题,钢琴老师说排版有问题,因为指法的数字不应该写进五线内。",1.0
TRAIN_132,127504.0,PRODUCT_440402,1248710400,签名版的呃~,"今天收到了,是飞烟签名的,知识由于签名破包了,书有点脏了~~~",5.0
TRAIN_133,986.0,PRODUCT_38558,1321027200,好用,"机身很沉,但小巧,风力和温度都很到位,价格也不贵,希望可以很耐用",5.0
TRAIN_134,1805.0,PRODUCT_17092,1219593600,值得一看,"不一定正确,但值得一看!!",4.0
TRAIN_135,170806.0,PRODUCT_328279,1201881600,悲剧,"100个故事,没一个有好结局,所以才叫有一种爱叫放手.",3.0
TRAIN_136,1318059.0,PRODUCT_382504,1324569600,一套完整的会计实务资料,"实验很系统、完整,从建账初始化参数设置,到购销存业务处理和财务处理,到凭证自动生成,到现金流量表、损益表、资产负债表编制,会计实务一套完整的资料。",5.0
TRAIN_137,312261.0,PRODUCT_312081,1357574400,质量好,"速度快,质量好,干净",5.0
TRAIN_138,365932.0,PRODUCT_432835,1317657600,"用起来很好,声音很小","用起来很好,声音很小",5.0
TRAIN_139,28816.0,PRODUCT_78811,1342195200,微软胡说八道 电池能用10个月 能用一个月就不错了,"微软瞎说 电池能用连续使用10个月 通过我的亲身体验别的方面非常好 电池特别不耐用 如果不关闭鼠标 最多能用10天,绝对不会达到十个月,也不知道微软是怎么检测的,建议大家买罗技鼠标",1.0
TRAIN_140,6502.0,PRODUCT_451368,1361894400,好书,"先是在图书馆看到这本书,奔着钱老的力荐去的,果然不凡!",5.0
TRAIN_141,283174.0,PRODUCT_115288,1355068800,难得的好书,实用性和可操作性都很强。爱不释手。应该永远放在手边的书。,5.0
TRAIN_142,16396.0,PRODUCT_420923,1237737600,为什么不进译文版,"英文版的看了一半,实在有点吃力,想在joyo找译文,怎么没有黄锦炎的译文",4.0
TRAIN_143,470065.0,PRODUCT_112938,1380211200,很好,"内容很不错,有感触。",5.0
TRAIN_144,296686.0,PRODUCT_148062,1289664000,很实用,对了解国内的金融市场很有帮助。,4.0
TRAIN_145,1020631.0,PRODUCT_178539,1371916800,喜欢,"给孩子买的,孩子很喜欢,而且质量很好",5.0
TRAIN_146,184386.0,PRODUCT_312431,1375286400,应该值得一看,"这本书是在我看了一篇书评之后决定买下来的,应该值得一看",5.0
TRAIN_147,6606.0,PRODUCT_159630,1313942400,看不懂呀,"看不懂厚黑学的人伤不起呀,已经束之高阁啦,哎",4.0
TRAIN_148,337814.0,PRODUCT_244852,1381075200,好,包装很好而且这本内容超好看,5.0
TRAIN_149,869648.0,PRODUCT_102859,1364832000,第一次亚马逊,"感觉很棒。特别是物流,还有具体的也不能说的很清楚,因为还没有使用过。",5.0
TRAIN_150,160533.0,PRODUCT_512910,1357488000,不错,纸质的书还是很不错的,5.0
TRAIN_151,46760.0,PRODUCT_201038,1322496000,设计人员非正常的专业读本!,将旅行、生活与设计枯燥的专业书结合绝妙的读本。不错!,4.0
TRAIN_152,24188.0,PRODUCT_305918,1373990400,感觉不错,"价格实惠,好用,下次继续支持。",5.0
TRAIN_153,94221.0,PRODUCT_24916,1288022400,乐扣的七件套,"发货很快,而且是我喜欢的乐扣,公司的同事看了也都说很好,还要再买一套!",4.0
TRAIN_154,75120.0,PRODUCT_363170,1264953600,"香味有点刺鼻,好像并不是我想要的","香味有点刺鼻,好像并不是我想要的",2.0
TRAIN_155,946263.0,PRODUCT_375231,1305648000,还不错,"试了一下,还不错,不过只能干用,有点笑痛,可以忍受",5.0
TRAIN_156,61579.0,PRODUCT_483043,1311091200,挺好,"印刷,排版,注释都很好,遗憾的是附送的cd不支持mp3格式,只能在电脑上播放",4.0
TRAIN_157,23253.0,PRODUCT_440478,1284566400,实用且方便,"作为一本随身的小册子,里面涵盖的内容也是相当丰富的,推荐给刚工作的朋友们,(*^__^*)",5.0
TRAIN_158,109711.0,PRODUCT_477639,1381852800,喜欢,就是冲着这本书来的。一定要买下,5.0
TRAIN_159,94325.0,PRODUCT_301695,1358611200,给母上买的。,"给母上买的,但是她不喜欢这种小的,虽然我个人觉得还可以,没有盖子,可以栓绳子……反正母上不喜欢,我就自己留着用了,总的来说还是满意的。",4.0
TRAIN_160,59868.0,PRODUCT_467963,1262188800,印刷装订不好,"有十几页都是空白的,已办理退货,一个月了,还没有消息",1.0
TRAIN_161,947178.0,PRODUCT_139023,1358438400,不错,"图画很漂亮,拿回家小孩就要求讲给他听。",4.0
TRAIN_162,157969.0,PRODUCT_304810,1383235200,不错,为了回忆买的  可惜现实永远不是童话,5.0
TRAIN_163,89870.0,PRODUCT_74926,1371225600,"商品很好,寄送也快","商品不错。寄送也很快。之前看别人评论说这版用纸和裁剪不是很好,拿到书后,果然如此。不过,无所谓了,我买来是收藏用的。",5.0
TRAIN_164,735441.0,PRODUCT_167289,1356451200,"再用,目前还好","给五星,也说几句: 后来朋友告诉我,此类存储卡如果速度快,就更脆弱,更容易坏。 不建议买16g,建议4g的多买几个,觉得有道理。 另:亚马逊第一用,可能还不清楚客服如何联系,如何咨询,算自己愚钝,和卖家无关吧。",5.0
TRAIN_165,64892.0,PRODUCT_45318,1354377600,小巧,"书好小巧,想起大学的六级单词本了。。",5.0
TRAIN_166,1416263.0,PRODUCT_464812,1334505600,Very good~!~,"必须说的是正品行货这个价格的确是便宜,而且还带正规发票,而且质量很好,唯一美中不足的就是缺了个原装皮套,哈哈,总的来说就是很好很给力~~~",5.0
TRAIN_167,577429.0,PRODUCT_523583,1297958400,支持阿狸!!,阿狸还是一如既往的可爱  故事也是相当的温暖,5.0
TRAIN_168,254835.0,PRODUCT_436916,1358697600,平白的小故事。,"也许文风不太对我的路子,我觉得一般。初恋萌事...?不太相衬。书可以看得很快,其实没花多久就看完,但是总会觉得少了点心动的感觉,轻松和温暖什么的也觉得真的一般。有时会觉得文章的衔接有点生硬,也许仅是个人观点。但是装帧很好,封面很美。无聊消遣,打发时间,只想看个稍长的小故事,也还算可以。",3.0
TRAIN_169,846488.0,PRODUCT_93252,1375977600,非常满意,"亚马逊真的非常棒,我很满意",5.0
