category_str,评论内容_clean,text_clean_char,attributes,attributes_list,labels,aspects_hit
图书音像,第一次是知乎上看到有人推荐的后来就买了也不贵。看了书之后我也想做好事3000了yes加油,次 知 上 看 人 推 荐 后 买 不 贵 看 书 后 想 做 好 事 3000 yes 加 油,"[{""aspect"": ""价格"", ""polarity"": 1}]","[('价格', 1)]","0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0",价格
电脑/办公,物流很快的电脑很快收到了对机子很满意遗憾的是机子预装的不是windows系统却是什么中标麒麟Linux努力研究了一晚上到最后放弃了。没办法得自己花钱去买张window7的安装盘给重新安装系统了麻烦。。。,物 流 很 快 电 脑 很 快 收 机 子 很 满 意 遗 憾 机 子 预 装 不 windows 系 统 却 什 中 标 麒 麟 Linux 努 力 研 究 晚 上 最 后 放 弃 没 办 法 花 钱 去 买 张 window 7 安 装 盘 重 新 安 装 系 统 麻 烦,"[{""aspect"": ""物流"", ""polarity"": 1}]","[('物流', 1)]","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0",物流
图书音像,上海讲话实录这本书印刷质量不错里面的内容也很好.,上 海 讲 话 实 录 书 印 刷 质 量 不 错 里 面 内 容 很 好,"[{""aspect"": ""质量"", ""polarity"": 1}]","[('质量', 1)]","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",质量
图书音像,呵呵英文版书印得很好的质量很好,英 文 版 书 印 很 好 质 量 很 好,"[{""aspect"": ""质量"", ""polarity"": 1}]","[('质量', 1)]","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",质量
图书音像,绘画精美、装帧典雅文字及所选故事也非常好绝对物有所值,绘 画 精 美 装 帧 典 雅 文 字 选 事 非 常 好 绝 物 值,"[{""aspect"": ""包装"", ""polarity"": 1}]","[('包装', 1)]","0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0",包装
电脑/办公,质量不错性价比蛮高,质 量 不 错 性 价 蛮 高,"[{""aspect"": ""质量"", ""polarity"": 1}]","[('质量', 1)]","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",质量
图书音像,性价比个人觉得非常高这整一个系列都性价比很高 至于内容么就不方便透露啦不过觉得剧情稍逊于《二十年目睹之怪现状》 但是因为想收藏一整套所以就买啦反正也不贵 封面也很喜欢纸质印刷什么的都不错 总之有兴趣的书虫们买来也不会后悔,性 价 人 觉 非 常 高 整 系 列 都 性 价 很 高 内 容 不 方 便 透 露 不 觉 剧 情 稍 逊 二 十 年 目 睹 怪 现 状 想 收 藏 整 套 买 反 正 不 贵 封 面 很 喜 欢 纸 质 印 刷 什 都 不 错 总 兴 趣 书 虫 买 不 会 后 悔,"[{""aspect"": ""价格"", ""polarity"": 1}]","[('价格', 1)]","0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0",价格
家用电器,发货很快。东西有一点点的小瑕疵插头处有小问题应该不会影响使用吧。用过之后再追加评论吧,发 货 很 快 东 西 点 点 小 瑕 疵 插 头 处 小 问 题 应 不 会 影 响 使 后 再 追 加 评,"[{""aspect"": ""物流"", ""polarity"": 1}]","[('物流', 1)]","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0",物流
钟表/首饰/眼镜/礼品,还可以但很容易坏。,还 很 容 易 坏,"[{""aspect"": ""质量"", ""polarity"": 0}]","[('质量', 0)]","0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0",质量
图书音像,兰晓龙的书让人欲罢不能细细品读书的质量很好,兰 晓 龙 书 人 欲 罢 不 细 细 品 读 书 质 量 很 好,"[{""aspect"": ""质量"", ""polarity"": 1}]","[('质量', 1)]","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",质量
美妆个护,有点干但是挺好看,点 干 挺 好 看,"[{""aspect"": ""外观"", ""polarity"": 1}]","[('外观', 1)]","0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0",外观
图书音像,很实用孩子喜欢实惠。,很 实 孩 子 喜 欢 实 惠,"[{""aspect"": ""价格"", ""polarity"": 1}]","[('价格', 1)]","0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0",价格
电脑/办公,才收到 试下了 音量很小也可以听的很清楚 只不过自己喜欢那种可以完全把耳朵包住的 这个就有点小。。。,才 收 试 下 音 量 很 小 听 很 清 楚 只 不 喜 欢 完 全 耳 朵 包 住 点 小,"[{""aspect"": ""质量"", ""polarity"": 1}]","[('质量', 1)]","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",质量
图书音像,确实很不错而且很快就收到了也挺好看,确 实 很 不 错 很 快 收 挺 好 看,"[{""aspect"": ""外观"", ""polarity"": 1}]","[('外观', 1)]","0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0",外观
图书音像,不错按着周背挺好看的,不 错 周 背 挺 好 看,"[{""aspect"": ""外观"", ""polarity"": 1}]","[('外观', 1)]","0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0",外观
家用电器,与商品介绍相符好用出差带着OK,商 品 介 绍 相 符 好 出 差 带 OK,"[{""aspect"": ""描述"", ""polarity"": 1}]","[('描述', 1)]","0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0",描述
图书音像,语言流畅易懂不贵的价格很厚实的一本纸张质量马马虎虎啦还不错。,语 言 流 畅 易 懂 不 贵 价 格 很 厚 实 纸 张 质 量 马 马 虎 虎 还 不 错,"[{""aspect"": ""价格"", ""polarity"": 1}]","[('价格', 1)]","0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0",价格
图书音像,客服 慕亮亮挺好的。昨天的书是93.4 没有参加满99送书活动今天补了一本书和昨天的书凑够了99送了一本书 客服慕亮亮 态度很好都是在尽量的满足消费者帮助消费者。 挺好的客服,客 服 慕 亮 亮 挺 好 昨 天 书 93 4 没 参 加 满 99 送 书 活 动 今 天 补 书 昨 天 书 凑 够 99 送 书 客 服 慕 亮 亮 态 度 很 好 都 量 满 足 消 费 帮 助 消 费 挺 好 客 服,"[{""aspect"": ""服务"", ""polarity"": 1}]","[('服务', 1)]","0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0",服务
图书音像,质量很好很满意赞一个,质 量 很 好 很 满 意 赞,"[{""aspect"": ""质量"", ""polarity"": 1}]","[('质量', 1)]","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",质量
图书音像,全书都是彩色印刷的图片很精美总共大概有400种药书后有疾病的索引用来治病非常好用。,全 书 都 彩 色 印 刷 图 片 很 精 美 总 共 大 概 400 药 书 后 疾 病 索 引 治 病 非 常 好,"[{""aspect"": ""包装"", ""polarity"": 1}]","[('包装', 1)]","0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0",包装
图书音像,质量很好图画也很美。文字很适合孩子不错的一本书。,质 量 很 好 图 画 很 美 文 字 很 适 合 孩 子 不 错 书,"[{""aspect"": ""质量"", ""polarity"": 1}]","[('质量', 1)]","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",质量
图书音像,质量不错发货速度快还会继续在亚马逊买书,质 量 不 错 发 货 速 度 快 还 会 继 续 亚 马 逊 买 书,"[{""aspect"": ""质量"", ""polarity"": 1}]","[('质量', 1)]","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",质量
图书音像,我觉得质量太差了 有点向盗版 纸的质感太糙了,觉 质 量 太 差 点 盗 版 纸 质 感 太 糙,"[{""aspect"": ""质量"", ""polarity"": 0}]","[('质量', 0)]","0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0",质量
图书音像,我觉得这本书很好啊。很好看,觉 书 很 好 很 好 看,"[{""aspect"": ""外观"", ""polarity"": 1}]","[('外观', 1)]","0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0",外观
图书音像,快递蛮好的速度很快书内容有点错字不过还是支持卓越,快 递 蛮 好 速 度 很 快 书 内 容 点 错 字 不 还 支 持 卓 越,"[{""aspect"": ""物流"", ""polarity"": 1}]","[('物流', 1)]","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0",物流
图书音像,适合有一定基础的人看太过简陋不过价格在那里的嘛,适 合 定 基 础 人 看 太 简 陋 不 价 格 里,"[{""aspect"": ""包装"", ""polarity"": 0}]","[('包装', 0)]","0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0",包装
美妆个护,挺保湿的也不会太油这个价格比较实惠,挺 保 湿 不 会 太 油 价 格 实 惠,"[{""aspect"": ""价格"", ""polarity"": 1}]","[('价格', 1)]","0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0",价格
手机/数码,一分价钱一分货虽然贵了点但做工比杂牌好多了,分 价 钱 分 货 然 贵 点 做 工 杂 牌 好,"[{""aspect"": ""做工"", ""polarity"": 1}, {""aspect"": ""价格"", ""polarity"": 1}]","[('做工', 1), ('价格', 1)]","0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0","做工,价格"
电脑/办公,首先质量太轻插进去不紧。第二用了一个月就坏了。我服了这是真的闪迪产品吗,首 先 质 量 太 轻 插 进 去 不 紧 二 月 坏 服 真 闪 迪 产 品,"[{""aspect"": ""质量"", ""polarity"": 0}]","[('质量', 0)]","0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0",质量
图书音像,到货的速度很快收到的书本都非常满意.,货 速 度 很 快 收 书 都 非 常 满 意,"[{""aspect"": ""物流"", ""polarity"": 1}]","[('物流', 1)]","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0",物流
图书音像,印刷质量不错也没有残页.订单处理得很快送货及时.,印 刷 质 量 不 错 没 残 页 订 单 处 理 很 快 送 货 时,"[{""aspect"": ""质量"", ""polarity"": 1}]","[('质量', 1)]","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",质量
图书音像,书没有任何损坏。快递很快态度很好。人民音乐出版社的质量是可以的。,书 没 损 坏 快 递 很 快 态 度 很 好 人 民 音 乐 出 版 社 质 量,"[{""aspect"": ""服务"", ""polarity"": 1}]","[('服务', 1)]","0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0",服务
图书音像,看了很好质量不错。,看 很 好 质 量 不 错,"[{""aspect"": ""质量"", ""polarity"": 1}]","[('质量', 1)]","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",质量
手机/数码,不错的包包很喜欢大小正合适,不 错 包 包 很 喜 欢 大 小 正 合 适,"[{""aspect"": ""外观"", ""polarity"": 1}]","[('外观', 1)]","0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0",外观
手机/数码,买这款机子要买白色的大气漂亮封条下面还有一段拆过的封条应该是退过货的算了机子可以用就不追究了事实证明868买的华为比一千多的三超值太多了。,买 款 机 子 买 白 色 大 气 漂 亮 封 条 下 面 还 段 拆 封 条 应 退 货 算 机 子 不 追 究 事 实 证 明 868 买 华 千 三 超 值 太,"[{""aspect"": ""外观"", ""polarity"": 1}]","[('外观', 1)]","0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0",外观
图书音像,正在看书的质量很好,正 看 书 质 量 很 好,"[{""aspect"": ""质量"", ""polarity"": 1}]","[('质量', 1)]","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",质量
手机/数码,这么坑人呢就没有一给力的东西。,坑 人 没 力 东 西,"[{""aspect"": ""价格"", ""polarity"": 0}]","[('价格', 0)]","0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0",价格
美妆个护,打开看了 还不错 挺喜欢的 发货速度很快啊,开 看 还 不 错 挺 喜 欢 发 货 速 度 很 快,"[{""aspect"": ""物流"", ""polarity"": 1}]","[('物流', 1)]","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0",物流
图书音像,发货很快包装很严密。书也很好。支持店家。,发 货 很 快 包 装 很 严 密 书 很 好 支 持 店 家,"[{""aspect"": ""物流"", ""polarity"": 1}]","[('物流', 1)]","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0",物流
电脑/办公,样子漂亮速度慢点了,样 子 漂 亮 速 度 慢 点,"[{""aspect"": ""外观"", ""polarity"": 1}]","[('外观', 1)]","0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0",外观
食品/保健,以前没吃过这个口味初次品尝还是挺惊艳的。很浓的咖啡味一点都不偏甜包装上说没有添加剂没有氢化油脂之类的看来还挺健康。 包装也很好看来亚马逊是接到太多投诉说饼干运碎了里面都装了填充物到手拆开里面的威化还都很完整 下次会再来买的,前 没 吃 口 味 初 次 品 尝 还 挺 惊 艳 很 浓 咖 啡 味 点 都 不 偏 甜 包 装 上 说 没 添 加 剂 没 氢 化 油 脂 类 看 还 挺 健 康 包 装 很 好 看 亚 马 逊 接 太 投 诉 说 饼 干 运 碎 里 面 都 装 填 充 物 手 拆 开 里 面 威 化 还 都 很 完 整 下 次 会 再 买,"[{""aspect"": ""外观"", ""polarity"": 1}]","[('外观', 1)]","0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0",外观
图书音像,印刷精美内容丰富,印 刷 精 美 内 容 丰 富,"[{""aspect"": ""包装"", ""polarity"": 1}]","[('包装', 1)]","0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0",包装
图书音像,发货速度很快题库题目量多解析很全面,发 货 速 度 很 快 题 库 题 目 量 解 析 很 全 面,"[{""aspect"": ""物流"", ""polarity"": 1}]","[('物流', 1)]","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0",物流
手机/数码,第一次在Amazon上买贵重商品太棒了便宜又好用很新是2013年的未激活 总之 好,次 Amazon 上 买 贵 重 商 品 太 棒 便 宜 好 很 新 2013 年 未 激 活 总 好,"[{""aspect"": ""价格"", ""polarity"": 1}]","[('价格', 1)]","0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0",价格
电脑/办公,还行没有想象中那么方便,还 行 没 想 象 中 方 便,"[{""aspect"": ""质量"", ""polarity"": 0}]","[('质量', 0)]","0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0",质量
图书音像,是在卓越上偶然看到的那几幅样板画吸引了我。 买到手中发现实体书要比卓越介绍的更加鲜亮。 质量很好画面清晰温馨。,卓 越 上 偶 然 看 幅 样 板 画 吸 引 买 手 中 发 现 实 体 书 卓 越 介 绍 更 加 鲜 亮 质 量 很 好 画 面 清 晰 温 馨,"[{""aspect"": ""质量"", ""polarity"": 1}]","[('质量', 1)]","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",质量
图书音像,买了三个没发现你们说的质量问题感觉质量很好。跟书店买的没什么两样呀单词作文都有12套卷子也没觉得纸张不好。还有一个光盘还没有试,买 三 没 发 现 说 质 量 问 题 感 觉 质 量 很 好 书 店 买 没 什 两 样 单 词 作 文 都 12 套 卷 子 没 觉 纸 张 不 好 还 光 盘 还 没 试,"[{""aspect"": ""质量"", ""polarity"": 1}]","[('质量', 1)]","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",质量
图书音像,大家别买这本书我前几天买回家发现译文很枯涩难懂连基本的语法都不具备跟网上刊登的译文片段更不相符过分,大 家 买 书 前 天 买 回 家 发 现 译 文 很 枯 涩 难 懂 基 语 法 都 不 具 备 网 上 刊 登 译 文 片 段 更 不 相 符 分,"[{""aspect"": ""描述"", ""polarity"": 1}]","[('描述', 1)]","0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0",描述
图书音像,翻看了一下印刷质量不错彩色的。唯一有点让我很困惑在书末尾的“养肾食物大盘点”里面第一个提到的就是韭菜及其种子可是从头翻到尾居然没有一个跟韭菜相关的菜这是编者的失误么,翻 看 下 印 刷 质 量 不 错 彩 色 唯 点 很 困 惑 书 末 尾 养 肾 食 物 大 盘 点 里 面 提 韭 菜 子 头 翻 尾 居 然 没 韭 菜 相 关 菜 编 失 误,"[{""aspect"": ""质量"", ""polarity"": 1}]","[('质量', 1)]","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",质量
手机/数码,给儿子学英语用的语音蛮清晰的物美价廉,儿 子 学 英 语 语 音 蛮 清 晰 物 美 价 廉,"[{""aspect"": ""价格"", ""polarity"": 1}]","[('价格', 1)]","0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0",价格
图书音像,收到书可算是长长吁了口气终于买齐了全套虽然等了几天但还是相对的价格优惠了不少。 小孩看的入了迷昨晚还给讲了一路的故事我没有看不好对其内容作评论。,收 书 算 长 长 吁 口 气 终 买 齐 全 套 然 天 还 相 价 格 优 惠 不 少 小 孩 看 入 迷 昨 晚 还 讲 路 事 没 看 不 好 内 容 作 评,"[{""aspect"": ""价格"", ""polarity"": 1}]","[('价格', 1)]","0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0",价格
家用电器,之前买了X和百多元的高档打蛋器没打几分钟机器就非常热连取下搅拌头时都烫的吓人害的我都不大敢用使用中还有怪味发出真怕在使用中出现电线走火或爆炸。后来看到这款ACA的一百元都不要想想不管怎样总是大牌子就买了。果然好用到不行功率大最小档的转速都非常快基本打蛋白只用到第二小档就够了可以连续使用长时间机器也不发热外形结实易擦美观。太满意了没办法外来的品牌就是好好好,前 买 X 百 元 高 档 蛋 器 没 分 钟 机 器 非 常 热 取 下 搅 拌 头 时 都 烫 人 害 都 不 大 敢 使 中 还 怪 味 发 出 真 怕 使 中 出 现 电 线 走 火 爆 炸 后 看 款 ACA 百 元 都 不 想 想 不 样 总 大 牌 子 买 果 然 好 不 行 功 率 大 最 小 档 转 速 都 非 常 快 基 蛋 白 只 二 小 档 够 续 使 长 时 间 机 器 不 发 热 外 形 结 实 易 擦 美 观 太 满 意 没 办 法 外 品 牌 好 好 好,"[{""aspect"": ""质量"", ""polarity"": 1}]","[('质量', 1)]","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",质量
图书音像,很好书很大也很厚好好看内容很齐全,很 好 书 很 大 很 厚 好 好 看 内 容 很 齐 全,"[{""aspect"": ""外观"", ""polarity"": 1}]","[('外观', 1)]","0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0",外观
图书音像,比较失望。一 书脊多处破损而快递外包装完整。应是库存不当可惜了书。 二 本书共197页内容多属引用。标价42元折扣后仍略显贵。,失 书 脊 处 破 损 快 递 外 包 装 完 整 应 库 存 不 惜 书 二 书 共 197 页 内 容 属 引 标 价 42 元 折 扣 后 仍 略 显 贵,"[{""aspect"": ""包装"", ""polarity"": 0}]","[('包装', 0)]","0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0",包装
图书音像,经济实惠物美价廉不错,济 实 惠 物 美 价 廉 不 错,"[{""aspect"": ""价格"", ""polarity"": 1}]","[('价格', 1)]","0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0",价格
图书音像,书很好字很漂亮值得购买,书 很 好 字 很 漂 亮 值 购 买,"[{""aspect"": ""外观"", ""polarity"": 1}]","[('外观', 1)]","0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0",外观
图书音像,很好啊以前就买过这本书知识丢了又想再看所以又买了一本发货速度很快质量也挺好的,很 好 前 买 书 知 识 丢 想 再 看 买 发 货 速 度 很 快 质 量 挺 好,"[{""aspect"": ""物流"", ""polarity"": 1}]","[('物流', 1)]","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0",物流
图书音像,好看的书看着舒服。非常喜欢。,好 看 书 看 舒 服 非 常 喜 欢,"[{""aspect"": ""外观"", ""polarity"": 1}]","[('外观', 1)]","0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0",外观
家居生活,超市里卖小200了上便宜啊还送货上门,超 市 里 卖 小 200 上 便 宜 还 送 货 上 门,"[{""aspect"": ""价格"", ""polarity"": 1}]","[('价格', 1)]","0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0",价格
图书音像,好看得不行了,好 看 不 行,"[{""aspect"": ""外观"", ""polarity"": 1}]","[('外观', 1)]","0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0",外观
电脑/办公,用 了一段时间才来评论的质量很好价格很优惠,段 时 间 才 评 质 量 很 好 价 格 很 优 惠,"[{""aspect"": ""质量"", ""polarity"": 1}]","[('质量', 1)]","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",质量
图书音像,应该说还是可以看看的通俗易懂 如果和当前明月一比那就有差距了,应 说 还 看 看 通 俗 易 懂 果 前 明 月 差 距,"[{""aspect"": ""描述"", ""polarity"": 0}]","[('描述', 0)]","0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0",描述
图书音像,纸张不错印刷排版很好很实惠。物有所值,纸 张 不 错 印 刷 排 版 很 好 很 实 惠 物 值,"[{""aspect"": ""价格"", ""polarity"": 1}]","[('价格', 1)]","0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0",价格
手机/数码,之前是白色的。容易脏。一百多买的。。。。后来扯坏了。。。这个便宜好多,前 白 色 容 易 脏 百 买 后 扯 坏 便 宜 好,"[{""aspect"": ""价格"", ""polarity"": 1}]","[('价格', 1)]","0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0",价格
图书音像,挺好的适合买来阅读和收藏。装潢和内部设计很精细。有古书的韵味。内容很好有注释有讲解有点评。美中不足是送来时背后有明显的折痕希望仓库保管和包装人员能再仔细点。,挺 好 适 合 买 阅 读 收 藏 装 潢 内 部 设 计 很 精 细 古 书 韵 味 内 容 很 好 注 释 讲 解 点 评 美 中 不 足 送 时 背 后 明 显 折 痕 希 仓 库 保 包 装 人 员 再 仔 细 点,"[{""aspect"": ""做工"", ""polarity"": 1}]","[('做工', 1)]","0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0",做工
图书音像,配货快书的质量好、很喜欢全五分,配 货 快 书 质 量 好 很 喜 欢 全 五 分,"[{""aspect"": ""质量"", ""polarity"": 1}]","[('质量', 1)]","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",质量
图书音像,很漂亮的封面选的画也漂亮就是有那么几张跨页的不是很满意,很 漂 亮 封 面 选 画 漂 亮 张 跨 页 不 很 满 意,"[{""aspect"": ""外观"", ""polarity"": 1}]","[('外观', 1)]","0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0",外观
图书音像,依然那么神速快递员态度和善书没有破损的地方保护得很好。。,然 神 速 快 递 员 态 度 善 书 没 破 损 方 保 护 很 好,"[{""aspect"": ""包装"", ""polarity"": 0}]","[('包装', 0)]","0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0",包装
家用电器,1、使用感受牙刷很不错设计的漂亮功能明显强悍一分钱一分货效果很很不错刷完牙齿滑滑平常刷牙要很认真仔细才能有这样的感觉。绝对解放生产力。 2、电池问题充满电只能使用2周左右时间每天2次1次2min电池续航还是没能达到介绍所描述的超过3周。 使用前充满24小时之后是不是充电都要充满24小时说明书简单的可以也没写相关内容。 还有充电6小时就发现绿灯已熄灭是否表示已经充满可以拔掉充电器还是要继续充继续充的话还要充电多少时间 3、配套问题还是应该自己配个消毒器。另外看介绍刷头是可以用HX6053HX6083HX6011HX6021HX6031等敏感性及Pro-Result等型号的有没有换这些刷头用过的效果怎么样跟原配刷头的使用效果有啥区别呢,1 使 感 受 牙 刷 很 不 错 设 计 漂 亮 功 明 显 强 悍 分 钱 分 货 效 果 很 很 不 错 刷 完 牙 齿 滑 滑 平 常 刷 牙 很 认 真 仔 细 才 样 感 觉 绝 解 放 生 产 力 2 电 池 问 题 充 满 电 只 使 2 周 左 右 时 间 天 2 次 1 次 2 min 电 池 续 航 还 没 达 介 绍 描 述 超 3 周 使 前 充 满 24 小 时 后 不 充 电 都 充 满 24 小 时 说 明 书 简 单 没 写 相 关 内 容 还 充 电 6 小 时 发 现 绿 灯 已 熄 灭 否 表 示 已 充 满 拔 掉 充 电 器 还 继 续 充 继 续 充 话 还 充 电 少 时 间 3 配 套 问 题 还 应 配 消 毒 器 外 看 介 绍 刷 头 HX 6053 HX 6083 HX 6011 HX 6021 HX 6031 敏 感 性 Pro Result 型 号 没 换 些 刷 头 效 果 样 原 配 刷 头 使 效 果 区,"[{""aspect"": ""外观"", ""polarity"": 1}]","[('外观', 1)]","0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0",外观
