评论内容_clean,tokens_jieba,text_clean_jieba,tokens_char,text_clean_char,类别,attributes
一直干剃须剃的也比较干净电力也很耐用。,"[""干"", ""剃须"", ""剃"", ""比较"", ""干净"", ""电力"", ""很"", ""耐用""]",干 剃须 剃 比较 干净 电力 很 耐用,"[""直"", ""干"", ""剃"", ""须"", ""剃"", ""干"", ""净"", ""电"", ""力"", ""很"", ""耐""]",直 干 剃 须 剃 干 净 电 力 很 耐,"[{""类别"": ""家用电器"", ""类别ID"": 4}]","[{""aspect"": ""质量"", ""polarity"": 1}]"
质量不怎么样中间有个破损页幸亏发现了 还得找客服真是麻烦,"[""质量"", ""不怎么样"", ""中间"", ""有个"", ""破损"", ""页"", ""幸亏"", ""发现"", ""还"", ""找"", ""客服"", ""真是"", ""麻烦""]",质量 不怎么样 中间 有个 破损 页 幸亏 发现 还 找 客服 真是 麻烦,"[""质"", ""量"", ""不"", ""样"", ""中"", ""间"", ""破"", ""损"", ""页"", ""幸"", ""亏"", ""发"", ""现"", ""还"", ""找"", ""客"", ""服"", ""真"", ""麻"", ""烦""]",质 量 不 样 中 间 破 损 页 幸 亏 发 现 还 找 客 服 真 麻 烦,"[{""类别"": ""图书音像"", ""类别ID"": 0}]","[{""aspect"": ""包装"", ""polarity"": 0}]"
买过DK的《鲸与海豚》觉得不错又买了《恐龙与史前生命》到手发觉内容不多又翻译得欠佳对于稍想深入了解的读者意义不大图片也不够精美不值得专业收藏一般的读者仅供参考。,"[""买过"", ""DK"", ""鲸"", ""海豚"", ""觉得"", ""不错"", ""买"", ""恐龙"", ""史前"", ""生命"", ""到手"", ""发觉"", ""内容"", ""不多"", ""翻译"", ""欠佳"", ""稍想"", ""深入"", ""了解"", ""读者"", ""意义"", ""不"", ""大"", ""图片"", ""不够"", ""精美"", ""不"", ""值得"", ""专业"", ""收藏"", ""读者"", ""仅供参考""]",买过 DK 鲸 海豚 觉得 不错 买 恐龙 史前 生命 到手 发觉 内容 不多 翻译 欠佳 稍想 深入 了解 读者 意义 不 大 图片 不够 精美 不 值得 专业 收藏 读者 仅供参考,"[""买"", ""DK"", ""鲸"", ""海"", ""豚"", ""觉"", ""不"", ""错"", ""买"", ""恐"", ""龙"", ""史"", ""前"", ""生"", ""命"", ""手"", ""发"", ""觉"", ""内"", ""容"", ""不"", ""翻"", ""译"", ""欠"", ""佳"", ""稍"", ""想"", ""深"", ""入"", ""解"", ""读"", ""意"", ""义"", ""不"", ""大"", ""图"", ""片"", ""不"", ""够"", ""精"", ""美"", ""不"", ""值"", ""专"", ""业"", ""收"", ""藏"", ""般"", ""读"", ""仅"", ""供"", ""参"", ""考""]",买 DK 鲸 海 豚 觉 不 错 买 恐 龙 史 前 生 命 手 发 觉 内 容 不 翻 译 欠 佳 稍 想 深 入 解 读 意 义 不 大 图 片 不 够 精 美 不 值 专 业 收 藏 般 读 仅 供 参 考,"[{""类别"": ""图书音像"", ""类别ID"": 0}]","[{""aspect"": ""价格"", ""polarity"": 0}, {""aspect"": ""包装"", ""polarity"": 1}]"
是一套可爱的书童书能让孩子认识大自然中的动物生活常识。书质量很好照片也好寓教于乐。,"[""一套"", ""可爱"", ""书童"", ""书能"", ""孩子"", ""认识"", ""大自然"", ""中"", ""动物"", ""生活"", ""常识"", ""书"", ""质量"", ""很"", ""好"", ""照片"", ""寓教于乐""]",一套 可爱 书童 书能 孩子 认识 大自然 中 动物 生活 常识 书 质量 很 好 照片 寓教于乐,"[""套"", ""爱"", ""书"", ""童"", ""书"", ""孩"", ""子"", ""认"", ""识"", ""大"", ""然"", ""中"", ""动"", ""物"", ""生"", ""活"", ""常"", ""识"", ""书"", ""质"", ""量"", ""很"", ""好"", ""片"", ""好"", ""寓"", ""教"", ""乐""]",套 爱 书 童 书 孩 子 认 识 大 然 中 动 物 生 活 常 识 书 质 量 很 好 片 好 寓 教 乐,"[{""类别"": ""图书音像"", ""类别ID"": 0}]","[{""aspect"": ""质量"", ""polarity"": 1}]"
很漂亮很喜欢还在功能开发中,"[""很漂亮"", ""很"", ""喜欢"", ""还"", ""功能"", ""开发"", ""中""]",很漂亮 很 喜欢 还 功能 开发 中,"[""很"", ""漂"", ""亮"", ""很"", ""喜"", ""欢"", ""还"", ""功"", ""开"", ""发"", ""中""]",很 漂 亮 很 喜 欢 还 功 开 发 中,"[{""类别"": ""手机/数码"", ""类别ID"": 2}]","[{""aspect"": ""外观"", ""polarity"": 1}]"
书的质量很好内容还没怎么看不过总体来说还不错,"[""书"", ""质量"", ""很"", ""好"", ""内容"", ""还"", ""没"", ""看"", ""总体"", ""来说"", ""还"", ""不错""]",书 质量 很 好 内容 还 没 看 总体 来说 还 不错,"[""书"", ""质"", ""量"", ""很"", ""好"", ""内"", ""容"", ""还"", ""没"", ""看"", ""不"", ""总"", ""体"", ""说"", ""还"", ""不"", ""错""]",书 质 量 很 好 内 容 还 没 看 不 总 体 说 还 不 错,"[{""类别"": ""图书音像"", ""类别ID"": 0}]","[{""aspect"": ""质量"", ""polarity"": 1}]"
很好用的小铅笔刀物美价廉很好,"[""很"", ""好"", ""小"", ""铅笔刀"", ""物美价廉"", ""很"", ""好""]",很 好 小 铅笔刀 物美价廉 很 好,"[""很"", ""好"", ""小"", ""铅"", ""笔"", ""刀"", ""物"", ""美"", ""价"", ""廉"", ""很"", ""好""]",很 好 小 铅 笔 刀 物 美 价 廉 很 好,"[{""类别"": ""电脑/办公"", ""类别ID"": 1}]","[{""aspect"": ""价格"", ""polarity"": 1}]"
质量好 内容丰富 希望宝宝越听越聪明,"[""质量"", ""好"", ""内容"", ""丰富"", ""希望"", ""宝宝"", ""越"", ""听"", ""越"", ""聪明""]",质量 好 内容 丰富 希望 宝宝 越 听 越 聪明,"[""质"", ""量"", ""好"", ""内"", ""容"", ""丰"", ""富"", ""希"", ""宝"", ""宝"", ""越"", ""听"", ""越"", ""聪"", ""明""]",质 量 好 内 容 丰 富 希 宝 宝 越 听 越 聪 明,"[{""类别"": ""图书音像"", ""类别ID"": 0}]","[{""aspect"": ""质量"", ""polarity"": 1}]"
电池很不错绝对正品。物美价廉,"[""电池"", ""很"", ""不错"", ""绝对"", ""正品"", ""物美价廉""]",电池 很 不错 绝对 正品 物美价廉,"[""电"", ""池"", ""很"", ""不"", ""错"", ""绝"", ""正"", ""品"", ""物"", ""美"", ""价"", ""廉""]",电 池 很 不 错 绝 正 品 物 美 价 廉,"[{""类别"": ""手机/数码"", ""类别ID"": 2}]","[{""aspect"": ""价格"", ""polarity"": 1}]"
画面制作精美我儿子很喜欢,"[""画面"", ""制作"", ""精美"", ""儿子"", ""很"", ""喜欢""]",画面 制作 精美 儿子 很 喜欢,"[""画"", ""面"", ""制"", ""作"", ""精"", ""美"", ""儿"", ""子"", ""很"", ""喜"", ""欢""]",画 面 制 作 精 美 儿 子 很 喜 欢,"[{""类别"": ""图书音像"", ""类别ID"": 0}]","[{""aspect"": ""包装"", ""polarity"": 1}]"
啊啊啊啊啊啊啊啊 用了好幾天了 感覺有點坑了 信號無故斷掉 還有無故黑頻又啟動不了也沒有很多人說的那麼差勁的啦=。=電池什麼的看視頻可是看很久額、運行速度也蠻不錯的 因為剛用了兩天還沒有什麼特別大的問題、不知道一個月之後會不會壞了==,"[""啊啊啊"", ""啊啊啊"", ""好"", ""幾天"", ""感覺"", ""有點"", ""坑"", ""信號"", ""無"", ""故斷"", ""掉"", ""還有"", ""無故"", ""黑頻"", ""啟動"", ""不了"", ""沒"", ""很多"", ""人"", ""說"", ""那麼"", ""差勁"", ""電池"", ""什麼"", ""看視頻"", ""看"", ""很久額"", ""運行"", ""速度"", ""蠻"", ""不錯"", ""因為"", ""剛用"", ""兩天"", ""還沒有"", ""什麼"", ""特別"", ""大"", ""問題"", ""不"", ""知道"", ""一個"", ""月"", ""之後會"", ""不會壞""]",啊啊啊 啊啊啊 好 幾天 感覺 有點 坑 信號 無 故斷 掉 還有 無故 黑頻 啟動 不了 沒 很多 人 說 那麼 差勁 電池 什麼 看視頻 看 很久額 運行 速度 蠻 不錯 因為 剛用 兩天 還沒有 什麼 特別 大 問題 不 知道 一個 月 之後會 不會壞,"[""好"", ""幾"", ""天"", ""感"", ""覺"", ""點"", ""坑"", ""信"", ""號"", ""無"", ""斷"", ""掉"", ""還"", ""無"", ""黑"", ""頻"", ""啟"", ""動"", ""不"", ""沒"", ""很"", ""人"", ""說"", ""麼"", ""差"", ""勁"", ""電"", ""池"", ""什"", ""麼"", ""看"", ""視"", ""頻"", ""看"", ""很"", ""久"", ""額"", ""運"", ""行"", ""速"", ""度"", ""蠻"", ""不"", ""錯"", ""為"", ""剛"", ""兩"", ""天"", ""還"", ""沒"", ""什"", ""麼"", ""特"", ""別"", ""大"", ""問"", ""題"", ""不"", ""知"", ""道"", ""個"", ""月"", ""後"", ""會"", ""不"", ""會"", ""壞""]",好 幾 天 感 覺 點 坑 信 號 無 斷 掉 還 無 黑 頻 啟 動 不 沒 很 人 說 麼 差 勁 電 池 什 麼 看 視 頻 看 很 久 額 運 行 速 度 蠻 不 錯 為 剛 兩 天 還 沒 什 麼 特 別 大 問 題 不 知 道 個 月 後 會 不 會 壞,"[{""类别"": ""手机/数码"", ""类别ID"": 2}]","[{""aspect"": ""价格"", ""polarity"": 0}]"
当天下单 第二天就到了 卓越还是很靠谱的 书的质量一般 内容上来说 个人觉得更适合入行的我们等菜鸟作为指导来看 很多东西都是很有指导意义的 理论性原则性比较强 技巧等方面的东西就需要自己另外的补充和积累了 总而言之 推荐,"[""当天"", ""下单"", ""第二天"", ""卓越"", ""很"", ""谱"", ""书"", ""质量"", ""内容"", ""上"", ""来说"", ""个人"", ""觉得"", ""更"", ""适合"", ""入行"", ""菜鸟"", ""指导"", ""来看"", ""很多"", ""东西"", ""都"", ""很"", ""指导意义"", ""理论性"", ""原则性"", ""比较"", ""强"", ""技巧"", ""方面"", ""东西"", ""需要"", ""补充"", ""积累"", ""推荐""]",当天 下单 第二天 卓越 很 谱 书 质量 内容 上 来说 个人 觉得 更 适合 入行 菜鸟 指导 来看 很多 东西 都 很 指导意义 理论性 原则性 比较 强 技巧 方面 东西 需要 补充 积累 推荐,"[""天"", ""下"", ""单"", ""二"", ""天"", ""卓"", ""越"", ""还"", ""很"", ""谱"", ""书"", ""质"", ""量"", ""般"", ""内"", ""容"", ""上"", ""说"", ""人"", ""觉"", ""更"", ""适"", ""合"", ""入"", ""行"", ""菜"", ""鸟"", ""作"", ""指"", ""导"", ""看"", ""很"", ""东"", ""西"", ""都"", ""很"", ""指"", ""导"", ""意"", ""义"", ""理"", ""性"", ""原"", ""性"", ""强"", ""技"", ""巧"", ""方"", ""面"", ""东"", ""西"", ""需"", ""外"", ""补"", ""充"", ""积"", ""累"", ""总"", ""言"", ""推"", ""荐""]",天 下 单 二 天 卓 越 还 很 谱 书 质 量 般 内 容 上 说 人 觉 更 适 合 入 行 菜 鸟 作 指 导 看 很 东 西 都 很 指 导 意 义 理 性 原 性 强 技 巧 方 面 东 西 需 外 补 充 积 累 总 言 推 荐,"[{""类别"": ""图书音像"", ""类别ID"": 0}]","[{""aspect"": ""质量"", ""polarity"": 0}]"
原本看了其他评论很担心怕有破损或纸质不好什么的收到货以后觉得不错也没有破损纸质和装订都是我喜欢的关键是有光盘的。总之不错,"[""原本"", ""看"", ""评论"", ""很"", ""担心"", ""怕"", ""破损"", ""纸质"", ""不好"", ""收到"", ""货"", ""以后"", ""觉得"", ""不错"", ""没有"", ""破损"", ""纸质"", ""装订"", ""都"", ""喜欢"", ""关键"", ""光盘"", ""不错""]",原本 看 评论 很 担心 怕 破损 纸质 不好 收到 货 以后 觉得 不错 没有 破损 纸质 装订 都 喜欢 关键 光盘 不错,"[""原"", ""看"", ""评"", ""很"", ""担"", ""心"", ""怕"", ""破"", ""损"", ""纸"", ""质"", ""不"", ""好"", ""什"", ""收"", ""货"", ""后"", ""觉"", ""不"", ""错"", ""没"", ""破"", ""损"", ""纸"", ""质"", ""装"", ""订"", ""都"", ""喜"", ""欢"", ""关"", ""键"", ""光"", ""盘"", ""总"", ""不"", ""错""]",原 看 评 很 担 心 怕 破 损 纸 质 不 好 什 收 货 后 觉 不 错 没 破 损 纸 质 装 订 都 喜 欢 关 键 光 盘 总 不 错,"[{""类别"": ""图书音像"", ""类别ID"": 0}]","[{""aspect"": ""包装"", ""polarity"": 0}]"
很好很精美 明信片也好看啦,"[""很"", ""好"", ""很"", ""精美"", ""明信片"", ""好看""]",很 好 很 精美 明信片 好看,"[""很"", ""好"", ""很"", ""精"", ""美"", ""明"", ""信"", ""片"", ""好"", ""看""]",很 好 很 精 美 明 信 片 好 看,"[{""类别"": ""图书音像"", ""类别ID"": 0}]","[{""aspect"": ""包装"", ""polarity"": 1}, {""aspect"": ""外观"", ""polarity"": 1}]"
朋友推荐发货速度很快内容自不必说……,"[""朋友"", ""推荐"", ""发货"", ""速度"", ""很快"", ""内容"", ""自不必说""]",朋友 推荐 发货 速度 很快 内容 自不必说,"[""朋"", ""友"", ""推"", ""荐"", ""发"", ""货"", ""速"", ""度"", ""很"", ""快"", ""内"", ""容"", ""不"", ""必"", ""说""]",朋 友 推 荐 发 货 速 度 很 快 内 容 不 必 说,"[{""类别"": ""图书音像"", ""类别ID"": 0}]","[{""aspect"": ""物流"", ""polarity"": 1}]"
机身很沉但小巧风力和温度都很到位价格也不贵希望可以很耐用,"[""机身"", ""很沉"", ""小巧"", ""风力"", ""温度"", ""都"", ""很"", ""到位"", ""价格"", ""不贵"", ""希望"", ""很"", ""耐用""]",机身 很沉 小巧 风力 温度 都 很 到位 价格 不贵 希望 很 耐用,"[""机"", ""身"", ""很"", ""沉"", ""小"", ""巧"", ""风"", ""力"", ""温"", ""度"", ""都"", ""很"", ""位"", ""价"", ""格"", ""不"", ""贵"", ""希"", ""很"", ""耐""]",机 身 很 沉 小 巧 风 力 温 度 都 很 位 价 格 不 贵 希 很 耐,"[{""类别"": ""家用电器"", ""类别ID"": 4}]","[{""aspect"": ""质量"", ""polarity"": 1}, {""aspect"": ""价格"", ""polarity"": 1}]"
速度快质量好干净,"[""速度"", ""快"", ""质量"", ""好"", ""干净""]",速度 快 质量 好 干净,"[""速"", ""度"", ""快"", ""质"", ""量"", ""好"", ""干"", ""净""]",速 度 快 质 量 好 干 净,"[{""类别"": ""其他"", ""类别ID"": 6}]","[{""aspect"": ""质量"", ""polarity"": 1}]"
